,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
OK,0.05501292168109467,0.9409632252417883,-0.07649893128179307,0.09538750677661104,-0.06963892223401331,0.10514889039581282,0.15847035396043574,0.11353553883580093,-0.020165251187259325,-0.014673511935545324,-0.008601452507479374,0.03382600613626428,0.039866168776193936,-0.22824085512528125,-0.08028715918045115,-0.11552954877314195
OR,0.9135530071951178,0.19918987959995732,0.04381752657418993,-0.04755435135883239,0.12346765782837808,0.014140400869270688,0.17498123591925396,0.11140021238759873,-0.021719340672529557,0.09478820734984623,0.09712430843238712,0.013731896715588495,0.253892513827788,0.044943498670480905,0.0054945975021723995,-0.0335549752309163
PA,0.9538622683531436,0.004646417831435948,-0.10185461600851314,0.12181681967069126,-0.04147947316862247,0.1149506788248967,-0.056819680652067134,-0.023829058019229406,-0.07826884251974572,-0.13408634359610908,0.04798640377298498,0.0016826657274079245,0.07674307188205656,-0.18018415332226403,0.06323043742801253,0.09881354832435708
RI,0.8995729817695008,-0.11764132049138044,-0.007495340750373917,0.0938573015560454,-0.10250787405315094,0.29833920402966657,0.023206815091349746,-0.1371978860647896,0.012310324680284894,0.0103651144099981,-0.08554926696923996,0.06746027319326907,-0.21689148640661485,-0.10446356676316387,-0.010565313389877177,-0.039031804275070726
SC,-0.368154654425971,0.8927026433391071,0.13707560586947937,-0.03919588220705805,0.013408185254601126,-0.04611782280180689,0.048835042077473786,-0.06648650082176,0.05204381541427514,0.07613764609848095,-0.02802186464096764,0.0755104173558516,-0.03273736745578654,0.19361645627625315,0.015284429724039816,0.1275116764645199
SD,0.5132464106365051,0.4194950647702559,-0.30257949233900355,0.2199676592171557,-0.00994186267603408,0.08079813862253954,0.6484156994176526,0.10642415675434577,0.05318647998979829,-0.034295111969269335,-0.05336922892894838,-0.018106242725369218,0.06673313990002912,-0.025254803875010747,-0.017602869261048777,-0.029574557003115468
TN,0.07920857249713018,0.9379426160733871,-0.12188367481567376,0.17945658261879377,-0.1462493861070761,-0.00360127854425759,0.022898944583976018,-0.07400208723215,-0.024760114483032485,0.0466152760409797,-0.020694170555996552,0.027616589521205312,0.04322502342980774,-0.22080855425842325,-0.03365994929166354,0.10361141210940117
TX,-0.03944954102068226,0.9871946974077687,-0.009898807517709515,-0.05377137809039692,0.06266870380529908,0.10370816160032097,0.03403367559407667,0.07076405588107236,0.05177667335417788,0.08445522561761182,0.030404942354010794,0.07658232622656026,0.017394687625568714,0.04672283318949708,-0.0018586076626115704,-0.11729068002166053
UT,0.17425542767257443,0.8992664641493613,-0.005278877173021279,-0.059423848952736565,0.13969021203176882,0.24937543367328696,0.04895826603760526,-0.004622436393211413,0.07524223751830664,-0.2079217598088691,0.15274511249281,-0.06294224620092306,-0.0895190539496688,0.12338425340906974,-0.0032538718723760488,-0.015451073450687598
VA,0.11888681510253468,0.8817243113221894,0.31429332042373403,-0.11761865917386123,0.11816742106727515,0.009396933218745913,-0.07352851980961225,0.11852574858499612,0.0875051542206664,0.23394823012454058,-0.00613145588015253,0.08556102956174709,0.046050936035351084,0.14605434988874466,0.05233002196672996,-0.03773573093528594
VT,0.8758335822717374,-0.3782437104832909,0.24564690345602852,0.010610241948183411,0.07374871181198468,-0.0020224609617193754,-0.031142312291527783,0.06181315677737435,0.10427207174245721,0.14308804856836288,0.005571814862332564,0.0662334428122165,0.015944746352663373,0.07846630063913271,-0.07227434523673747,0.04948406080110146
WA,0.9354921335222086,0.24672388000008158,0.08155824724330088,-0.06282390657027653,0.08639067144266199,-0.03636383988472492,0.04466998456709142,0.10553258023070636,-0.08261311165937972,-0.13273033458046268,0.07344858567284684,-0.025786198169422254,0.17068799528661255,0.0021404780935045916,-0.051822474694580574,-0.05864193274380756
