,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
NE-01,0.035687801216661874,0.068491579763849,0.0399760555949447,0.68491999639043,0.735663233572723,0.07121387324283442,0.04979273217327768,0.025340298193710697,0.04436135219033013,-0.001636363070162203,0.004907996545367085,-0.03559157293600402,0.022629312847927754,0.024516682489823333,-0.026385983248566277,0.017804260535312547,0.015288670137973756,-0.04695148241452676,0.022324476069626665,-0.005512553254858914,-0.0318164115395068
NE-02,0.03542870514900119,-0.04221903718818446,0.15848652217574483,-0.2890875635575904,0.9534923866925209,0.08339107809080486,-0.027205938198542085,0.013426628719051748,-0.02235066361072123,0.007217288006037466,0.02109542457990955,0.03838804408939771,-0.002032939956950591,-0.013729396019908361,0.012808010767313773,-0.046092114448281554,-0.005576359526278745,0.022784704327783897,-0.011148719761353381,0.0022512917365645857,0.014657741564408798
NE-03,0.013164856576590516,0.11213898969677732,-0.09266624012867301,0.9957840695310028,-0.12013324808349657,0.004227789240773095,0.08669009090855274,-0.002311911571761017,-0.013558962515902915,-0.008569809417893573,0.01649695187432671,0.0013903120758275616,-0.004843458151131111,-0.009457315769299755,0.008660000164909048,0.014025687593786976,-0.008566235094665812,0.010676886751342233,-0.006125466249018652,0.007009385534602661,0.00765759928047844
NE-AL,0.3907970987838154,0.7462212343781855,0.08424503812842611,-0.002553830508421825,0.11489288652475754,0.11773336033977445,0.4324269093322229,0.27073005615920515,0.004640779023656064,0.09609218239740952,0.04625468972117199,0.05190402219379566,-0.01767687490244776,-0.040693745576871415,-0.023046836780103254,-0.04607627739118895,0.046850050742044486,-0.04721216465252786,-0.004349100777128529,-0.03779770918783061,-0.08437601099511721
NH,0.7995435136422809,0.2729958378096087,0.3625160868909907,0.04602800242285232,-0.030774946466921464,0.29320336296087784,-0.0461564650879038,0.032552845332071034,0.24987161815094105,0.01873653852185544,-0.05716384976922304,0.025978250460374427,-0.059356338171771016,-0.06707916035848566,0.026644610143193127,-0.12696381790750558,-0.007336420201775523,-0.022517952562521776,-0.024927381059537217,-0.07178745795093171,-2.0151410285590147e-05
NJ,0.9759084381531101,0.040398899976404175,0.19581064110360533,-0.017190419396260915,-0.046874845294291895,0.09968605291153465,-0.005459976805672758,-0.06512848825127421,-0.01329317607732724,0.05401890853145803,-0.01643708982551973,0.034374877626372806,-0.05215926530819035,-0.0466406263230871,0.04624805686723014,-0.0067454831946240435,-0.02338493483694014,-0.057985154278236355,0.0011303280612538216,-0.0917796017160753,-0.01193420961219545
NM,0.7016553762558938,0.5536864536384849,0.33647592028142304,0.01238363187486408,0.088224860077349,0.05859346379919613,0.13301697996235043,0.0919884736280121,0.011036647796351506,0.10143727055191551,0.08474034028896352,-0.01366549695722657,0.08379209105406536,-0.24245360792389783,0.0036942056488999063,0.02604009382572102,0.03150160555193361,0.018701187435341896,-0.003576571647705713,-0.018097539742461494,0.01890007437144535
NV,0.6301198402917993,0.6752962965642915,0.224098531973827,-0.033295451829398894,0.013792523006419307,0.06815869080805016,0.25974255592891904,0.03545369550288305,-0.001607033359026272,-0.017403072469222892,0.024225125093520553,-0.05858527851495504,0.06346112348313436,-0.025225096603591176,0.114003694305497,-0.1587354625292143,0.012740967321946108,-0.042006555400335994,-0.0340149604850462,-0.0378385946438945,0.07272473996908269
NY,0.9539177743480708,-0.10114136970015163,0.2103096706439928,0.0418197986756857,-0.07856227439228462,0.04599188216359417,0.11462122001904873,-0.07647133553860617,-0.023367227222009852,0.10723027565545289,-0.0001772076620307912,0.07012848251057395,-0.0929774138831838,-0.0019949905012201655,-0.03922126340595766,-0.014673708116417864,-0.018032515359832028,-0.0035327430984202378,0.05311221032378583,-0.10529127214562548,-0.01927639595712414
OH,0.8478499072970008,0.3835921126668771,-0.07524641361821711,0.13922253871250895,-0.09902911482536506,0.13706784042001913,0.01631273322697603,0.21179498566232627,0.04275439432977363,-0.06853647864208473,-0.04703715384202805,0.09738145347702665,0.027394912983441894,0.00965826516943643,0.2055448207526374,0.08010005071211074,0.003634503599572847,0.017066631310465707,-0.03391761416126305,0.007669687120712459,-0.004034835580828903
