year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1880,ME-AL,65171,74056,4480,4676,"{""James Weaver"": 4480, ""John Phelps"": 142, ""Neal Dow"": 93}",143903,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,MI,131597,185341,34895,35839,"{""James Weaver"": 34895, ""John Phelps"": 2, ""Neal Dow"": 942}",352777,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,MN,53315,93903,3267,3553,"{""James Weaver"": 3267, ""Neal Dow"": 286}",150771,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,MO,208609,153567,35135,38135,"{""James Weaver"": 35135}",400311,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,MS,75750,34854,5797,5797,"{""James Weaver"": 5797}",116401,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,NATIONAL,4444976,4454433,308649,320068,"{""James Weaver"": 308649, ""John Phelps"": 1045, ""Neal Dow"": 10364}",9219477,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,NC,124208,115874,1126,1126,"{""James Weaver"": 1126}",241208,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,NE-AL,28523,54979,3950,3950,"{""James Weaver"": 3950}",87452,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,NH,40794,44852,528,708,"{""James Weaver"": 528, ""Neal Dow"": 180}",86354,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,NJ,122565,120555,2617,2808,"{""James Weaver"": 2617, ""Neal Dow"": 191}",245928,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,NV,9613,8732,0,0,{},18345,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,NY,534511,555544,12373,13890,"{""James Weaver"": 12373, ""John Phelps"": 75, ""Neal Dow"": 1517}",1103945,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,OH,340821,375048,6456,9098,"{""James Weaver"": 6456, ""Neal Dow"": 2616}",724967,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,OR,19955,20619,245,245,"{""James Weaver"": 245}",40819,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,PA,407428,444704,20668,22651,"{""James Weaver"": 20668, ""John Phelps"": 44, ""Neal Dow"": 1939}",874783,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,RI,10779,18195,236,261,"{""James Weaver"": 236, ""Neal Dow"": 20}",29235,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,SC,112312,58071,566,566,"{""James Weaver"": 566}",170949,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,TN,129191,107677,5917,5960,"{""James Weaver"": 5917, ""Neal Dow"": 43}",242828,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,TX,156428,57893,27405,27405,"{""James Weaver"": 27405}",241726,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,VA,128083,83533,0,0,{},211616,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,VT,18316,45567,1215,1320,"{""James Weaver"": 1215, ""John Phelps"": 105}",65203,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,WI,114649,144400,7986,8146,"{""James Weaver"": 7986, ""John Phelps"": 91, ""Neal Dow"": 69}",267195,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,WV,57391,46243,9079,9079,"{""James Weaver"": 9079}",112713,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1884,AL,92736,59444,762,1444,"{""Benjamin Butler"": 762, ""John St. John"": 610}",153624,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,AR,72734,51198,1847,1847,"{""Benjamin Butler"": 1847}",125779,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,CA,89288,102369,2965,5331,"{""Benjamin Butler"": 2037, ""John St. John"": 2965}",196988,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,CO,27723,36084,1956,2712,"{""Benjamin Butler"": 1956, ""John St. John"": 756}",66519,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,CT,67182,65898,2493,4177,"{""Benjamin Butler"": 1684, ""John St. John"": 2493}",137257,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,DE,16957,12953,64,74,"{""Benjamin Butler"": 10, ""John St. John"": 64}",29984,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,FL,31769,28031,72,190,"{""John St. John"": 72}",59990,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,GA,94667,48603,195,340,"{""Benjamin Butler"": 145, ""John St. John"": 195}",143610,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,IA,177316,197089,1499,2796,"{""John St. John"": 1499}",377201,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,IL,312351,337469,12074,22850,"{""Benjamin Butler"": 10776, ""John St. John"": 12074}",672670,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,IN,245005,238489,8810,11838,"{""Benjamin Butler"": 8810, ""John St. John"": 3028}",495332,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,KS,90132,154406,16346,21310,"{""Benjamin Butler"": 16346, ""John St. John"": 4495}",265848,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,KY,152961,118690,3139,4830,"{""Benjamin Butler"": 1691, ""John St. John"": 3139}",276481,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,LA,62594,46347,338,458,"{""Benjamin Butler"": 120, ""John St. John"": 338}",109399,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,MA,122352,146724,24382,34307,"{""Benjamin Butler"": 24382, ""John St. John"": 9923}",303383,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,MD,96866,85748,2827,3405,"{""Benjamin Butler"": 578, ""John St. John"": 2827}",186019,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,ME-AL,52153,72217,3955,6121,"{""Benjamin Butler"": 3955, ""John St. John"": 2160}",130491,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,MI,189361,192669,18403,19156,"{""Benjamin Butler"": 753, ""John St. John"": 18403}",401186,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,MN,70065,111685,4684,8267,"{""Benjamin Butler"": 3583, ""John St. John"": 4684}",190017,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,MO,236023,203081,2164,2164,"{""John St. John"": 2164}",441268,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,MS,77653,43035,0,0,{},120688,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,NATIONAL,4914482,4856903,150890,288760,"{""Benjamin Butler"": 134294, ""John St. John"": 150890}",10060145,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,NC,142905,125021,430,430,"{""John St. John"": 430}",268356,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,NE-AL,54391,76912,2899,2899,"{""John St. John"": 2899}",134202,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,NH,39198,43254,1580,2134,"{""Benjamin Butler"": 554, ""John St. John"": 1580}",84586,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,NJ,127798,123440,6159,9683,"{""Benjamin Butler"": 3496, ""John St. John"": 6159}",260921,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,NV,5578,7193,26,26,"{""Benjamin Butler"": 26}",12797,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,NY,563154,562005,25006,42010,"{""Benjamin Butler"": 17004, ""John St. John"": 25006}",1167169,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,OH,368280,400082,11069,16248,"{""Benjamin Butler"": 5179, ""John St. John"": 11069}",784610,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,OR,24604,26860,726,1218,"{""Benjamin Butler"": 726, ""John St. John"": 492}",52682,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,PA,392785,478804,16992,32275,"{""Benjamin Butler"": 16992, ""John St. John"": 15283}",903864,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,RI,12391,19030,928,1350,"{""Benjamin Butler"": 422, ""John St. John"": 928}",32771,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,SC,69845,21730,0,1237,"{""Other"": 1237}",92812,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,TN,133770,124101,1150,2107,"{""Benjamin Butler"": 957, ""John St. John"": 1150}",259978,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,TX,225309,93141,3534,6855,"{""Benjamin Butler"": 3321, ""John St. John"": 3534}",325305,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,VA,145491,139356,130,130,"{""John St. John"": 130}",284977,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,VT,17331,39514,1753,2556,"{""Benjamin Butler"": 785, ""John St. John"": 1753}",59401,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
1884,WI,146453,161135,7649,12247,"{""Benjamin Butler"": 4598, ""John St. John"": 7649}",319835,https://en.wikipedia.org/wiki/1884_United_States_presidential_election
