year,state,district,R_votes,D_votes,other_votes,total_votes,T_votes
1968,OH,17,86023,57690,18672.0,162385.0,18672.0
1968,OH,18,65713,84870,14204.0,164787.0,14204.0
1968,OH,19,50928,92517,16648.0,160093.0,16648.0
1968,OH,20,31726,66428,18122.0,116276.0,18122.0
1968,OH,21,15112,103450,11217.0,129779.0,11217.0
1968,OH,22,79014,98780,16817.0,194611.0,16817.0
1968,OH,23,103569,88303,22674.0,214546.0,22674.0
1968,OH,24,78563,52006,32059.0,162628.0,32059.0
1968,OK,1,88410,37899,32356.0,158665.0,32356.0
1968,OK,2,72075,53690,34037.0,159802.0,34037.0
1968,OK,3,50520,58656,40142.0,149318.0,40142.0
1968,OK,4,58862,53790,32067.0,144719.0,32067.0
1968,OK,5,81130,50981,26996.0,159107.0,26996.0
1968,OK,6,95034,45157,25067.0,165258.0,25067.0
1968,OR,1,132575,105214,12053.0,249842.0,12053.0
1968,OR,2,98678,71832,12111.0,182621.0,12111.0
1968,OR,3,85621,108230,9807.0,203658.0,9807.0
1968,OR,4,91559,73590,15712.0,180861.0,15712.0
1968,PA,1,38520,109562,11255.0,159337.0,11255.0
1968,PA,2,36759,111175,5523.0,153457.0,5523.0
1968,PA,3,42283,78505,9682.0,130470.0,9682.0
1968,PA,4,88325,123040,22112.0,233477.0,22112.0
1968,PA,5,48266,103496,14934.0,166696.0,14934.0
1968,PA,6,87817,84859,12474.0,185150.0,12474.0
1968,PA,7,99140,79916,17276.0,196332.0,17276.0
1968,PA,8,84963,66257,16890.0,168110.0,16890.0
1968,PA,9,90487,52218,16902.0,159607.0,16902.0
1968,PA,10,94081,88716,8813.0,191610.0,8813.0
1968,PA,11,79200,97861,9606.0,186667.0,9606.0
1968,PA,12,105222,59742,15489.0,180453.0,15489.0
1968,PA,13,128536,95947,14183.0,238666.0,14183.0
1968,PA,14,35277,91248,13083.0,139608.0,13083.0
1968,PA,15,85260,90996,8145.0,184401.0,8145.0
1968,PA,16,95239,40999,11472.0,147710.0,11472.0
1968,PA,17,107510,64123,13945.0,185578.0,13945.0
1968,PA,18,91938,82308,21344.0,195590.0,21344.0
1968,PA,19,95842,54788,14526.0,165156.0,14526.0
1968,PA,20,40745,96127,22475.0,159347.0,22475.0
1968,PA,21,53200,82842,14722.0,150764.0,14722.0
1968,PA,22,80602,79501,11078.0,171181.0,11078.0
1968,PA,23,81823,61365,8633.0,151821.0,8633.0
1968,PA,24,81256,85763,9733.0,176752.0,9733.0
1968,PA,25,68242,85838,15748.0,169828.0,15748.0
1968,PA,26,51049,89334,15808.0,156191.0,15808.0
1968,PA,27,85344,87266,21054.0,193664.0,21054.0
1968,RI,1,51891,112101,5833.0,169825.0,5833.0
1968,RI,2,70468,134417,9845.0,214730.0,9845.0
1968,SC,1,42966,42331,31220.0,116517.0,31220.0
1968,SC,2,47624,36004,28028.0,111656.0,28028.0
1968,SC,3,41678,26585,47223.0,115486.0,47223.0
1968,SC,4,54648,27411,36866.0,118925.0,36866.0
1968,SC,5,34909,30689,39356.0,104954.0,39356.0
1968,SC,6,32237,34466,32737.0,99440.0,32737.0
1968,SD,1,79757,65655,5876.0,151288.0,5876.0
1968,SD,2,70084,52368,7524.0,129976.0,7524.0
1968,TN,1,83465,27267,27764.0,138496.0,27764.0
1968,TN,2,78481,36277,28759.0,143517.0,28759.0
1968,TN,3,56137,38433,47956.0,142526.0,47956.0
1968,TN,4,50662,38383,42400.0,131445.0,42400.0
1968,TN,5,44175,44543,47889.0,136607.0,47889.0
1968,TN,6,30987,36667,65166.0,132820.0,65166.0
1968,TN,7,45001,46218,57647.0,148866.0,57647.0
1968,TN,8,30505,36667,62172.0,129344.0,62172.0
1968,TN,9,53179,46778,45039.0,144996.0,45039.0
1968,TX,1,35395,48345,47344.0,131084.0,47344.0
1968,TX,2,37836,48466,50961.0,137263.0,50961.0
1968,TX,3,79617,51767,24068.0,155452.0,24068.0
1968,TX,4,49925,48779,38472.0,137176.0,38472.0
1968,TX,5,64402,54664,21050.0,140116.0,21050.0
1968,TX,6,60284,60560,35115.0,155959.0,35115.0
1968,TX,7,85546,48329,28308.0,162183.0,28308.0
1968,TX,8,22831,57868,26061.0,106760.0,26061.0
1968,TX,9,43297,57290,33475.0,134062.0,33475.0
1968,TX,10,54549,67709,19848.0,142106.0,19848.0
1968,TX,11,34121,56813,21498.0,112432.0,21498.0
1968,TX,12,53349,61672,16950.0,131971.0,16950.0
1968,TX,13,70847,57924,24255.0,153026.0,24255.0
1968,TX,14,48963,72452,23142.0,144557.0,23142.0
1968,TX,15,32628,50487,6095.0,89210.0,6095.0
1968,TX,16,38442,40979,10391.0,89812.0,10391.0
1968,TX,17,49137,56547,23633.0,129317.0,23633.0
1968,TX,18,66410,38032,27689.0,132131.0,27689.0
1968,TX,19,55781,36848,25690.0,118319.0,25690.0
1968,TX,20,18062,54810,4676.0,77548.0,4676.0
1968,TX,21,80168,51053,25356.0,156577.0,25356.0
1968,TX,22,73607,68164,26843.0,168614.0,26843.0
1968,TX,23,37197,61524,14295.0,113016.0,14295.0
1968,UT,1,122293,70363,15185.0,207841.0,15185.0
1968,UT,2,116435,86302,11721.0,214458.0,11721.0
1968,VT,AL,85142,70255,6007.0,161404.0,6007.0
1968,VA,1,53955,46022,44618.0,144595.0,44618.0
1968,VA,2,31704,44211,26627.0,102542.0,26627.0
1968,VA,3,82607,47172,30697.0,160476.0,30697.0
1968,VA,4,38455,40712,44678.0,123845.0,44678.0
1968,VA,5,47702,34838,48491.0,131031.0,48491.0
1968,VA,6,68099,32892,29471.0,130462.0,29471.0
1968,VA,7,67004,30026,24250.0,121280.0,24250.0
1968,VA,8,63769,50200,33683.0,147652.0,33683.0
1968,VA,9,56296,44664,19516.0,120476.0,19516.0
1968,VA,10,80728,71600,19802.0,172130.0,19802.0
1968,WA,1,102918,92510,10579.0,206007.0,10579.0
1968,WA,2,87466,93506,15728.0,196700.0,15728.0
1968,WA,3,69025,84962,10985.0,164972.0,10985.0
1968,WA,4,83420,61301,13575.0,158296.0,13575.0
1968,WA,5,77621,69968,13192.0,160781.0,13192.0
1968,WA,6,66930,96553,14759.0,178242.0,14759.0
1968,WA,7,79649,101883,15588.0,197120.0,15588.0
1968,WV,1,66470,86743,13315.0,166528.0,13315.0
1968,WV,2,72571,68663,15124.0,156358.0,15124.0
1968,WV,3,61378,70731,15745.0,147854.0,15745.0
1968,WV,4,68870,71244,15031.0,155145.0,15031.0
1968,WV,5,38266,76710,13345.0,128321.0,13345.0
1968,WI,1,85386,76544,16415.0,178345.0,16415.0
1968,WI,2,82439,87814,8824.0,179077.0,8824.0
1968,WI,3,86474,58514,11373.0,156361.0,11373.0
1968,WI,4,55976,91625,17389.0,164990.0,17389.0
1968,WI,5,40750,67361,9151.0,117262.0,9151.0
1968,WI,6,96588,72596,11421.0,180605.0,11421.0
1968,WI,7,82321,68224,13683.0,164228.0,13683.0
1968,WI,8,91703,66639,12689.0,171031.0,12689.0
1968,WI,9,110853,78988,15437.0,205278.0,15437.0
1968,WI,10,77507,80499,11453.0,169459.0,11453.0
1968,WY,AL,70927,45173,11105.0,127205.0,11105.0
1972,AL,1,103842,33276,0.0,137118.0,0.0
1972,AL,2,107702,31190,0.0,138892.0,0.0
1972,AL,3,98640,33480,0.0,132120.0,0.0
1972,AL,4,117823,34059,0.0,151882.0,0.0
1972,AL,5,98504,33603,0.0,132107.0,0.0
1972,AL,6,108102,41625,0.0,149727.0,0.0
1972,AL,7,92421,47536,0.0,139957.0,0.0
1972,AK,AL,55349,32967,6903.0,95219.0,6903.0
1972,AZ,1,98436,46573,0.0,145009.0,0.0
1972,AZ,2,89052,65926,0.0,154978.0,0.0
1972,AZ,3,104197,41012,0.0,145209.0,0.0
1972,AZ,4,111127,45029,0.0,156156.0,0.0
1972,AR,1,98979,45355,0.0,144334.0,0.0
1972,AR,2,100761,56514,0.0,157275.0,0.0
1972,AR,3,138541,47922,0.0,186463.0,0.0
1972,AR,4,107470,49108,0.0,156578.0,0.0
1972,CA,1,123735,95522,0.0,219257.0,0.0
1972,CA,2,115742,94060,0.0,209802.0,0.0
1972,CA,3,104534,107849,0.0,212383.0,0.0
1972,CA,4,91739,77896,0.0,169635.0,0.0
1972,CA,5,60503,107755,0.0,168258.0,0.0
1972,CA,6,121081,110541,0.0,231622.0,0.0
1972,CA,7,75856,139721,0.0,215577.0,0.0
1972,CA,8,97446,89062,0.0,186508.0,0.0
1972,CA,9,80269,88293,0.0,168562.0,0.0
1972,CA,10,129770,84716,0.0,214486.0,0.0
1972,CA,11,103931,90388,0.0,194319.0,0.0
1972,CA,12,106577,83510,0.0,190087.0,0.0
1972,CA,13,130134,72367,0.0,202501.0,0.0
1972,CA,14,110079,90872,0.0,200951.0,0.0
1972,CA,15,93600,75020,0.0,168620.0,0.0
1972,CA,16,87864,79980,0.0,167844.0,0.0
1972,CA,17,106566,97748,0.0,204314.0,0.0
1972,CA,18,100122,65449,0.0,165571.0,0.0
1972,CA,19,91302,63474,0.0,154776.0,0.0
1972,CA,20,144889,68650,0.0,213539.0,0.0
1972,CA,21,31413,91077,0.0,122490.0,0.0
1972,CA,22,101594,79296,0.0,180890.0,0.0
1972,CA,23,135119,57301,0.0,192420.0,0.0
1972,CA,24,148177,55323,0.0,203500.0,0.0
1972,CA,25,126156,53059,0.0,179215.0,0.0
1972,CA,26,111555,135535,0.0,247090.0,0.0
1972,CA,27,129909,74361,0.0,204270.0,0.0
