year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes
1992,IL,2457602,1729844,840515,5027961,22
1992,IN,848420,989375,455934,2293729,12
1992,KS,389388,449096,316363,1154847,6
1992,KY,665104,617178,203944,1486226,8
1992,LA,815971,733386,240404,1789761,9
1992,MA,1318639,805039,647911,2771589,12
1992,MD,988571,707094,288988,1984653,10
1992,ME-01,145191,115697,104312,365200,1
1992,ME-02,118229,90807,105263,314299,1
1992,ME-AL,263420,206504,209575,679499,2
1992,MI,1871182,1554940,824813,4250935,18
1992,MN,1020997,747841,562506,2331344,10
1992,MO,1053873,811159,518741,2383773,11
1992,MS,400258,487793,85626,973677,7
1992,MT,154507,144207,111897,410611,3
1992,NATIONAL,44901820,39095543,20000572,103997935,533
1992,NC,1114042,1134661,357864,2606567,14
1992,ND,99168,136244,72721,308133,3
1992,NE-01,80938,107360,61227,249525,1
1992,NE-02,78816,115380,49686,243882,1
1992,NE-03,57590,121606,66675,245871,1
1992,NE-AL,217344,344346,177588,739278,2
1992,NH,209040,202484,125691,537215,4
1992,NJ,1436206,1356865,521829,3314900,15
1992,NM,261617,212824,91895,566336,5
1992,NV,189148,175828,132580,497556,4
1992,NY,3444450,2351808,1085562,6881820,33
1992,OH,1984942,1894310,1036426,4915678,21
1992,OK,473066,592929,319878,1385873,8
1992,OR,621314,475757,354091,1451162,7
1992,PA,2239164,1791841,902667,4933672,23
1992,RI,213299,131601,107033,451933,4
1992,SC,479514,577508,138782,1195804,8
1992,SD,124888,136718,74648,336254,3
1992,TN,933521,841300,199968,1974789,11
1992,TX,2281815,2496071,1354781,6132667,32
1992,UT,183429,322632,238008,744069,5
1992,VA,1038650,1150517,369498,2558665,13
1992,VT,133592,88122,67987,289701,3
1992,WA,993037,731234,541780,2266051,11
1992,WI,1041066,930855,544479,2516400,11
1992,WV,331001,241974,110702,683677,5
1992,WY,68160,79347,53118,200625,3
1996,AK,80380,122746,38494,241620,3
1996,AL,662066,768826,92628,1523520,9
1996,AR,475171,325416,81994,882581,6
1996,AZ,653288,622073,112074,1387435,8
1996,CA,5119815,3828368,1070454,10018637,54
1996,CO,671150,691846,145274,1508270,8
1996,CT,735740,483109,173760,1392609,8
1996,DC,158220,17339,10167,185726,3
1996,DE,140355,99062,31667,271084,3
1996,FL,2545690,2242951,483761,5272402,25
1996,GA,1053848,1080840,146337,2281025,13
1996,HI,205012,113943,41169,360124,4
1996,IA,620258,492644,121173,1234075,7
1996,ID,165443,256595,69673,491711,4
1996,IL,2341744,1587021,346408,4275173,22
1996,IN,887454,1006632,224280,2118366,12
1996,KS,387659,583245,103202,1074106,6
1996,KY,636614,623283,120396,1380293,8
1996,LA,927836,712586,143406,1783828,9
1996,MA,1569782,717116,266616,2553514,12
1996,MD,966208,681530,115812,1763550,10
1996,ME-01,165053,100851,51217,317121,1
1996,ME-02,147735,85527,55514,288776,1
1996,ME-AL,312788,186378,106731,605897,2
1996,MI,1989683,1481572,340671,3811926,18
1996,MN,1120279,766476,298987,2185742,10
1996,MO,1025935,890014,220823,2136772,11
1996,MS,394020,439833,56085,889938,7
1996,MT,167922,179652,59687,407261,3
1996,NATIONAL,47397479,39198976,9280096,95876551,533
1996,NC,1107849,1225938,168059,2501846,14
1996,ND,106905,125050,34456,266411,3
1996,NE-01,87712,114563,28055,230330,1
1996,NE-02,84667,116889,21100,222656,1
1996,NE-03,64382,132015,28028,224425,1
1996,NE-AL,236761,363467,77183,677411,2
1996,NH,246214,196532,54854,497600,4
1996,NJ,1651019,1102577,315724,3069320,15
1996,NM,273495,232751,49837,556083,5
1996,NV,203974,199244,61116,464334,4
1996,NY,3755984,1932894,620939,6309817,33
1996,OH,2148309,1860768,483277,4492354,21
1996,OK,488105,582315,130788,1201208,8
1996,OR,649631,538155,189964,1377750,7
1996,PA,2215819,1804169,453962,4473950,23
1996,RI,233050,104683,52397,390130,4
1996,SC,506283,573458,64386,1144127,8
1996,SD,139333,150543,33950,323826,3
1996,TN,909146,863530,105918,1878594,11
1996,TX,2459616,2736119,378429,5574164,32
1996,UT,221633,361911,82084,665628,5
1996,VA,1091060,1138350,187232,2416642,13
1996,VT,137894,80352,40203,258449,3
1996,WA,1123323,840712,291468,2255503,11
1996,WI,1071970,845028,279191,2196189,11
1996,WV,327812,233946,74701,636459,5
1996,WY,77934,105388,28249,211571,3
2000,AK,79004,167398,39158,285560,3
2000,AL,692610,941172,31460,1665242,9
2000,AR,422768,472940,26073,921781,6
2000,AZ,685341,781652,64773,1531766,8
2000,CA,5860562,4567300,537180,10965042,54
2000,CO,738229,883753,118197,1740179,8
2000,CT,816015,561094,82362,1459471,8
2000,DC,171923,18073,11898,201894,3
2000,DE,180068,137288,10266,327622,3
2000,FL,2912253,2912790,138067,5963110,25
2000,GA,1116230,1419720,45471,2581421,13
2000,HI,205242,138527,24728,368497,4
2000,IA,638517,634373,41208,1314098,7
2000,ID,138637,336937,26041,501615,4
2000,IL,2589059,2019432,132117,4740608,22
2000,IN,901980,1245836,32532,2180348,12
2000,KS,399276,622332,50608,1072216,6
2000,KY,638923,872520,32583,1544026,8
2000,LA,792344,927871,44338,1764553,9
2000,MA,1616487,878502,203963,2698952,12
2000,MD,1144008,813827,64359,2022194,10
2000,ME-01,176293,148618,24023,348934,1
2000,ME-02,143658,137998,21200,302856,1
2000,ME-AL,319951,286616,45223,651790,2
2000,MI,2170862,1953709,108863,4233434,18
2000,MN,1168266,1109659,159710,2437635,10
2000,MO,1111073,1189841,58825,2359739,11
2000,MS,404964,573249,16112,994325,7
2000,MT,137126,240178,33693,410997,3
2000,NATIONAL,50978884,50439898,3843860,105262642,533
2000,NC,1257694,1631165,22765,2911624,14
2000,ND,95284,174852,18131,288267,3
2000,NE-01,86773,142161,12491,241425,1
2000,NE-02,89148,131886,10578,231612,1
2000,NE-03,55859,159815,8310,223984,1
2000,NE-AL,231780,433862,31379,697021,2
2000,NH,266348,273559,14988,554895,4
2000,NJ,1775484,1276474,106870,3158828,15
2000,NM,286684,286170,24050,596904,5
2000,NV,279978,301575,24102,605655,4
2000,NY,4113568,2405675,309374,6828617,33
2000,OH,2185831,2351209,163568,4700608,21
2000,OK,474082,743938,15607,1233627,8
2000,OR,720342,713577,96630,1530549,7
2000,PA,2485865,2280983,145074,4911922,23
2000,RI,247115,130184,27647,404946,4
2000,SC,566033,786881,31111,1384025,8
2000,SD,118804,190700,6765,316269,3
2000,TN,981721,1061949,29941,2073611,11
2000,TX,2433411,3799196,170888,6403495,32
2000,UT,203053,515096,52257,770406,5
2000,VA,1217290,1437490,81860,2736640,13
2000,VT,149022,119775,25511,294308,3
2000,WA,1247652,1108864,128223,2484739,11
2000,WI,1242984,1237276,115043,2595303,11
2000,WV,295497,336473,16304,648274,5
2000,WY,60481,147947,9923,218351,3
2004,AK,111025,190889,10684,312598,3
2004,AL,693792,1175513,12530,1881835,9
2004,AR,469953,572898,12094,1054945,6
2004,AZ,893524,1104294,12750,2010568,10
2004,CA,6745485,5509826,147775,12403086,55
2004,CO,1001710,1101157,18167,2121034,9
2004,CT,857488,693826,27455,1578769,7
2004,DC,202970,21256,3360,227586,3
2004,DE,200152,171660,3458,375270,3
2004,FL,3584369,3962527,21010,7567906,27
2004,GA,1366154,1914219,21078,3301451,15
2004,HI,231706,194191,3114,429011,4
2004,IA,741898,751957,13053,1506908,7
2004,ID,181098,409235,8114,598447,4
2004,IL,2890008,2344503,18149,5252660,21
2004,IN,969009,1479438,13791,2462238,11
2004,KS,434960,736437,15110,1186507,6
2004,KY,712524,1069161,10894,1792579,8
2004,LA,820299,1102169,20568,1943036,9
2004,MA,1803800,1071109,37479,2912388,12
2004,MD,1334487,1024693,25000,2384180,10
2004,ME-01,211703,165824,6865,384392,1
2004,ME-02,185139,164377,6844,356360,1
2004,ME-AL,396842,330201,13709,740752,2
2004,MI,2479092,2313707,46844,4839643,17
2004,MN,1445014,1346695,36678,2828387,10
2004,MO,1258247,1455079,10748,2724074,11
2004,MS,458094,684981,9290,1152365,6
2004,MT,173710,266063,10672,450445,3
2004,NATIONAL,59025917,62034815,1020721,122081453,533
2004,NC,1525843,1961162,13993,3500998,15
2004,ND,111052,196651,5130,312833,3
2004,NE-01,96314,169888,3896,270098,1
2004,NE-02,97858,153041,3525,254424,1
2004,NE-03,60156,189885,3623,253664,1
2004,NE-AL,254328,512814,11044,778186,2
2004,NH,340511,331237,5990,677738,4
2004,NJ,1911768,1670107,5047,3586922,15
2004,NM,370942,376930,8432,756304,5
2004,NV,397093,418557,13706,829356,5
2004,NY,4314304,2962637,115725,7392666,31
2004,OH,2741265,2859923,26090,5627278,20
2004,OK,503964,959789,0,1463753,7
2004,OR,943161,866830,19829,1829820,7
2004,PA,2937657,2793540,21639,5752836,21
2004,RI,259760,169046,8264,437070,4
2004,SC,661661,937963,17176,1616800,8
2004,SD,149244,232584,6387,388215,3
2004,TN,1036474,1384379,16428,2437281,11
2004,TX,2832468,4526694,0,7359162,34
2004,UT,241199,663742,21947,926888,5
2004,VA,1454742,1716959,26666,3198367,13
2004,VT,184067,121180,7062,312309,3
2004,WA,1510183,1304880,46618,2861681,11
2004,WI,1489504,1478120,29383,2997007,10
2004,WV,326541,423778,5568,755887,5
2004,WY,70776,167629,5023,243428,3
2008,AK,123594,193841,8762,326197,3
2008,AL,813473,1266530,18936,2098939,9
2008,AR,422310,638017,26290,1086617,6
2008,AZ,1034707,1230111,27262,2292080,10
2008,CA,8274473,5011781,255410,13541664,55
2008,CO,1288577,1073591,39197,2401365,9
2008,CT,997772,629428,19597,1646797,7
2008,DC,245800,17367,2686,265853,3
2008,DE,255459,152374,4783,412616,3
