,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ND,0.4200068786840966,0.495745006611761,-0.062638346712535,0.06002439466438133,0.7379289532950505,-0.04788057850696515,-0.20053456735035474,0.029190676402288895,-0.014822805678127316,-0.035254358748387005,-0.037101114385288333,0.04748027467461091,-0.07738365139496715,0.04526965160045898,0.03440593760164478
NE-AL,0.3574970346296337,0.7140087383315094,0.06795296566312611,0.15109781936700725,0.50799558117801,0.28042528097917224,0.0014867008134577372,-0.017038148693310575,0.0875331388138434,0.1113878273484067,-0.022691199369828854,0.044358193323416846,0.04950231156484597,0.001122688200209121,0.06260589458831983
NH,0.8523586585302516,0.29191577962264104,0.11572053031821522,0.30128467948737875,-0.0223900375671147,0.011452154840951488,0.029102527281117462,-0.28453334923498014,-0.002953950895639689,0.13104602863589812,-0.10886522921849312,-0.03558341512587537,0.035851868762867514,-0.01916409203079797,-0.020240352510261902
NJ,0.9939914719673523,0.03800208050154652,0.051555544644281276,0.08812319213118215,0.04862472726333524,-0.0580557368775252,-0.03050050560275687,-0.03421118300127183,0.04775347894307633,0.06238768950839049,-0.03997427475063105,0.11881384316999524,0.023617128184501072,0.019515596093838457,0.0510441556633196
NM,0.7216927704964308,0.5545546787227539,0.2735448617299048,0.09368571514588094,0.18676661368041506,0.09978464271353074,0.010226500742992587,-0.052064563301010676,0.08843083961843397,0.0882396028875094,0.08760363246873891,0.008956821741598552,0.21867232116776314,0.011809152177645013,-0.017200134515938822
NV,0.6334941003513607,0.674660534727596,0.12385704354273391,0.10795391397652335,0.326056928224414,0.021569482644906983,0.08891219356400328,-0.09526248399151784,-0.03105033976245738,0.012419323963076366,0.03359034036650999,0.11392550802107565,-0.01608187319545264,0.0334204431485362,-0.07444856721314326
NY,0.9641430310218531,-0.10570178229373164,0.09733840552946281,0.023564909290961965,0.15060224819740603,-0.09072166856694137,-0.01987057679267711,-0.04041003092179517,0.11162943445940919,0.10851972044249611,-0.08249747799006604,0.046209654957113704,-0.03819484909773493,-0.021760037876206,0.12172796714614155
OH,0.8150515329854963,0.3238261997235943,-0.10498604424852971,0.08012340844917824,0.17811226183239945,0.2143093211610723,-0.3326388357455549,-0.10523519136217395,-0.11534874717387518,0.04528833280848297,0.036027454049196606,0.0494099956403715,-0.02892977810088524,0.12945109925261833,-0.06365272840578448
OK,0.01746600255437048,0.8780730324412881,-0.005209165363177169,0.07248579446880399,0.24796139489704827,0.13429927480772633,-0.37071073329419796,0.05215826524930259,-0.002828700849063569,0.04422158692347674,0.01862086062750983,0.03852509653759392,0.12902546768405898,-0.13011720109549266,-0.014689349864059996
OR,0.8857558226616747,0.17732318878886796,0.021878864035121817,0.037672055263282475,0.2973753370715036,0.14638817677418042,0.04050075001596002,0.02529240448806261,0.03640724389694636,-0.008148917550213977,0.3100815704967364,0.002457030356467936,0.06105010527478481,0.016974956745302985,0.005189982308125267
