,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
GA,-0.2082769200359317,0.9539537608816197,0.1126285407241265,-0.051148874982665016,0.07819319512934696,-0.06426805995057841,-0.04749996557594017,0.012511065355439282,-0.12241920631217118,-0.01565267282127318,-0.07802893724313127,-0.06576231324612261,0.010928796362887822,-0.09626876872877406,0.03893444494279079,0.07950879040678782,-0.04867399961013117,-0.0534453894945951
HI,0.4456837640484868,0.13640259416507522,0.6221666381914617,0.019181702692229376,0.13165392678591345,0.3944809191147803,0.0009401706023699705,0.010260463942444826,0.005350889480530242,0.02191213744512394,-0.04919972353779532,0.4962637665067887,-0.003671678260064715,-0.08562253311540373,0.00738981842685092,0.001265072248249133,1.1052376912332827e-05,-0.0020135731816206407
IA,0.8637527816905597,0.10106253292335103,-0.12585716760802676,0.17972722186643547,-0.08458703367875599,-0.06222968165466287,0.38227203729553366,0.031080118426519913,0.02713120235883602,0.011647075906310245,0.09710654814260263,0.10488366061958937,0.043631872524313456,-0.16647878713839573,-0.08139827169934014,-0.051735670216551,0.082638571636935,-0.070670935715533
ID,0.3127144316606623,0.8842260863906427,-0.09838199987540906,0.07916183390518781,0.049875471209024934,0.15402754768791535,0.22598857721709176,0.0727299204992848,-0.019239279128104882,-0.17630679153157694,0.06866140386846332,-0.09584592029346553,0.04316391535429529,0.021460192342635492,0.03200137720701141,-0.04122914683001089,0.06209948704817876,0.006564356738016259
IL,0.9743066617298117,-0.02338281905783196,0.21729388930330668,0.04565005327140871,0.021360012271074258,-0.06483226745216009,0.12063082352157753,-0.055191414808099123,-0.028924764855137543,-0.008548201896584954,0.03769192000336727,-0.038883290931655,-0.012569550049699237,-0.0160346561662288,-0.03801225332210064,-0.0028853950099628238,-0.02244416871439697,0.051746205802464626
IN,0.5121099974274539,0.7478234582332157,0.0633257484027154,0.20314280713382116,0.07046204970579761,0.17941642048723166,0.20012094931198923,0.08830655452989934,0.015231235074587903,0.0629649211961409,-0.00976775959957139,0.12660991966764854,-0.0171208391011052,-0.16180589388182207,0.1725945817021463,-0.012233296463687955,0.009393020258953732,0.024767512330711648
KS,0.6693360817790845,0.513246867870915,-0.09244024535054694,0.03356208774213918,0.07913637142573039,0.10219435576909418,0.24471636517570186,0.45110387919604455,0.0007575183327426268,0.10011605537886775,0.009343158525609137,-0.008759626667652813,0.036668656057296745,-0.11017242744285899,-0.0048132963064318746,0.01447903841793472,-0.008177429773244715,-0.0436902373308656
KY,0.12165916958890771,0.8070463493400162,-0.26576516566113484,0.2698282420770098,-0.10820506321121232,0.2611959654379794,0.016015469558999074,0.05904047290028183,0.047490738988845725,0.0015798715259049596,-0.04011163267154157,0.10452996811149452,0.022149678297144742,-0.3481603613718319,0.015262238023437198,0.016455892953712244,-0.038565309387426715,-0.02821445645784686
LA,-0.199826120290293,0.9430564960839006,0.0183714331150351,0.04907466761336171,-0.054676155639599676,-0.04716329939622216,0.06539583471854576,-0.04955711971970872,-0.020953604945879327,0.06992119512487426,-0.027110370813244942,-0.02942191629283412,-0.15084015453096808,0.20785640030328043,-0.04397568724094564,0.058578001154420904,0.07697689838370292,0.06301419462863792
MA,0.9085065260583947,-0.3031295463399617,-0.006596603946322426,-0.020210135112486007,-0.029258599415926602,0.21086436885629836,0.07652181787574729,-0.05530052457601332,0.10480756849985595,-0.04133596247059524,-0.06004827462702751,-0.06525880167461198,-0.18539749985375792,0.03203232536594036,-0.04649043669770153,-0.0015225965196136793,-0.04471399464120551,0.02616746702773762
