,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
SD,0.07443980817738019,-0.048835942066414215,0.7808374148644678,0.25136839063628613,0.16789301095178347,-0.09318660711661313,-0.3317406557099008,0.017232588690594616,-0.2206095521560452,0.02461870758365567,0.003205260299946598,0.033959307756002845,-0.26444584739934845,0.03902504527114347,-0.0698800097262495,0.044690151574226795,0.1588452436118792,-0.016905953427542735,-0.1999034829154716,-0.03358053546937325,0.013540827880701906,0.01579752570450257,-0.09672733981312337
TN,0.7975550269696564,-0.06315182190393713,0.0333289055257713,-0.11414214237282076,0.18427119422594826,0.07319078132029855,-0.4831712190060603,-0.054987511398467886,-0.14135102022035342,-0.06509503166947618,-0.10670284124803037,0.01794944166922152,0.0037282295857887127,-0.039914431185128815,-0.19295411985958058,-0.13555946041675176,0.03743376157712183,-0.04496086544761549,-0.044703823648085665,0.017149675291273817,-0.028893593521194087,0.024999083098646575,0.042276290772431356
TX,0.9564695798880156,-0.03758905887595994,0.07600954023779959,0.07929296421745226,-0.03865837638774616,-0.1619942747877706,-0.1762827748263286,-0.0057913891510051685,0.04897690198814126,0.09740186963751452,-0.11934225477628113,0.0369530648656094,0.0014506305566246891,-0.07745280703979328,0.021044076315890687,-0.055624569045828236,-0.03174082170892513,0.058351814163146706,0.022202591887480014,-0.06420778029111096,0.013386018886085706,0.00532966249242441,0.028392801078553992
UT,0.8401805902828117,-0.10686988407469108,0.06838807753016195,0.007391148140271623,-0.12419267169037358,-0.3175704824439205,-0.0846195163268932,0.1013487675229213,0.0006539832113944431,-0.048300646072002344,-0.0657258074165148,-0.03210649066028122,0.18666473413506757,0.03387111806514655,0.14886297372138813,-0.029983844477719908,-0.11632584672362901,-0.0317002787997217,-0.2895433025287734,-0.08962282672424249,-0.023320662139764466,-0.007471973678713011,0.055282602463092745
VA,0.8947380291996894,0.012049415672330189,-0.18286145015727176,0.12229793039544155,-0.1415489136249354,0.05166829888099424,-0.12851993903112735,0.030253750579440544,0.10336963133463846,0.1134819416962686,0.07881464405607097,0.017960967369272048,-0.036998045671251735,-0.0049382663823829935,0.2235546992183464,0.04028998856316742,0.07018428888009771,0.020922688324436726,0.2402391513150973,-0.02682974824114194,0.0155799252266045,-0.016081376160786903,0.016017631478030786
VT,-0.7793725788001593,-0.0011959828839510742,-0.1524545997509107,0.04025520012002837,-0.02905907866309097,0.15766454126471835,0.3861068077782781,0.07865218768015006,0.157439983715744,0.034279062277858444,0.07807006177585622,-0.01166878196639737,-0.02539396317916394,-0.1080966111947122,0.2678115860556927,0.04682229072552548,0.11330980993718066,0.0005124998722642579,0.27492463545968593,0.04163579112424368,-0.11085584901717935,-0.02940210754156057,0.026109089073217802
WA,-0.29732370336201414,0.038206036971452854,-0.06946067910727584,0.10145755791155667,-0.0640983913670286,-0.010360057613513074,0.8648095858627628,0.10026467901529948,0.14711905295285796,0.07361878496641412,0.07478040280165414,0.047188675453333905,-0.0009970421942866983,-0.06992184929096058,-0.20845473855182228,-0.20919751967713163,0.15270019388813638,0.05279762502461493,-0.11610677714902186,-0.01928202193527544,-0.018719462609483692,0.037721288738444915,-0.011802862200078621
WI,-0.3899612207531637,0.06737116589476998,0.8357120794297455,-0.11079151679572773,0.006435688032818857,0.0763391654936202,0.15920139766839364,0.028738237173655926,-0.014374238562188436,0.0504945363373703,0.07755832912209065,-0.11828764989054888,0.13137229495161634,-0.11218550035244979,-0.16424497432423574,0.03338302019458595,0.05416458015052665,0.0021287523133590395,0.18855371337888932,-0.10123939759826105,-0.00284857356529113,0.02151958443809651,0.04987969377660317
WV,0.2316882981105697,-0.13408870171850787,0.08405399135299321,-0.09330674754721754,0.372124760457926,-0.10864176925908264,-0.7284178580467061,-0.03288218457297064,-0.19653910386359477,-0.060350328080352005,-0.21037202836610716,0.18271111881807994,0.04951306274400818,-0.08375587530388179,-0.2616377161396042,-0.12201371541299484,0.002527565491322744,0.1156245496685547,-0.18176132936766679,0.010188010912025708,0.0010314137841178203,0.009245822173638242,0.07092804260876498
WY,0.6436235248642584,-0.07360768534255305,0.28623122763528847,0.14522209949365483,0.2645920974483052,-0.3237522831303799,-0.33152264802022846,0.04867124561757505,-0.12257340939759795,-0.084217676468426,-0.14804594764739226,0.10540633875985621,0.06130637071238493,0.0023716394423591116,-0.14297802128180573,-0.0625429713590867,-0.09346341320521157,-0.01077809779936041,-0.34334925251741727,0.04360838683282058,-0.03716028647965506,0.043959388479806696,0.09483810130048612
