,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
GA,0.9436324082464742,0.08807734866002742,-0.11415784001158608,0.0064072021975546825,-0.05139414337432296,0.05638393480191286,-0.23006464734814333,0.040486857468923276,-0.0437833233108551,-0.022148405698371475,-0.03060070962077815,-0.07374969081453892,-0.04416925738711667,0.045666737106006,-0.17504535178576225,-0.06565467631881472,-0.08694042511182123,0.013212700148351532,-0.06351680178151937
HI,-0.08392481668456479,0.0441632128520999,-0.13590320997544417,0.030005790866032712,-0.15846284988039314,0.03625547361568644,0.22687622630091187,0.027146697952854588,0.9360619979087306,0.07578367770702658,-0.09324651906544391,-0.009331095490677916,0.004171583680637371,0.0037581083289093178,0.17357973021068887,0.07357157661336813,0.021105069859438705,0.003954248168308482,-0.004943611402813758
IA,-0.5903356721261032,-0.19023612140043764,0.5685802004604228,0.08541478267083241,0.2407952493124046,0.2041061908758014,-0.04918944840173811,-0.0858022747687772,0.023779429509747076,0.16144388430185386,0.12428347699168953,0.05746219170677776,-0.057712790620715666,-0.2120484003952193,-0.1535099543495191,-0.043920464940006995,0.23163467302762855,0.16144184854714763,0.00877930847598948
ID,0.8340291147499485,-0.043189482741476125,0.27608609329518696,0.11031431408153694,0.09611077664574165,-0.3045813142193548,-0.10970097084709386,0.03737994579137733,-0.08659243979936763,0.04214353214021987,-0.06437549313382841,0.039596215235389434,0.053415038289755364,0.054328578277962884,-0.07612554845270843,-0.30277618587619953,-0.062241488676315876,0.0440044363721288,-0.08242810846559574
IL,-0.7627823322154296,0.03165321593348023,-0.02432727526371925,-0.123776486779564,0.02246339164464797,0.2772157341482462,0.4170197238627315,0.023798187149852018,0.10376337588035808,0.09699534585261613,0.26698684861299393,-0.21572556507538915,0.05893703813298314,-6.194513326633973e-05,0.11224909275819474,0.114001099095033,0.019664571117221977,-0.0762166488351018,-0.04983149905708992
IN,0.5653364110854923,-0.002734019385664152,0.05208011078705032,0.11718757629895629,0.058695527350338866,-0.008570826610223639,-0.7314995576544959,0.13223555840527035,0.0873092265935577,0.1671649830020246,0.13734655087303987,0.2072076478956534,-0.10813175091894835,0.1358385794395383,0.021279528131461466,-0.00040726109061412375,0.05680820952258108,-0.061129097698901944,-0.01751831825686477
KS,0.22753924803701325,-0.12610535567836156,0.19901437267567346,0.852351372064878,-0.0662092967828214,-0.03186174572884634,-0.19305570087360718,0.12473702005514682,-0.17554721704361675,0.05368874441876694,-0.12416580076563291,0.1763439243517769,-0.08120244843443078,-0.04725053465245842,-0.16581860768413068,0.09165755635793009,0.09378859189682676,0.06155200074784949,0.009683419546595979
KY,0.5451617695075763,-0.06695994319157979,-0.024652472969892588,0.01791964091825552,0.1891901266088316,-0.13604930202040483,-0.7158248824841793,0.0014045557345780649,-0.12475178801001234,0.04224543018461523,-0.17245077553203264,0.1639884074335134,-0.02943598356617285,-0.1235855163379984,-0.18774654033154858,-0.16608006012263754,0.05662739371856988,0.02028336124449911,0.07450786147817137
LA,0.9337517717569553,-0.040906257722438125,0.12806055333358807,-0.029738115112820207,0.09144779894260573,-0.019561681573889142,-0.23783882565345973,-0.033112868360748164,-0.07716336638679236,-0.15176901794533987,0.05837647909500965,-0.07959657372596973,0.059837703411767695,0.014893408820294583,0.09832796428633755,0.057216964218834696,-0.11978504884967289,0.026791676670286615,-0.05422119290788876
MA,-0.9175854222802874,0.02052716680098938,0.007991263221488642,-0.08899718776901797,-0.11273815167964125,-0.08634221981331014,0.13770047346436065,-0.043821089189966904,-0.08672004949167567,-0.0899492319160785,-0.0019342217777515176,-0.044153085924393064,0.006914138391258426,-0.07120917503957959,0.3175829130784649,0.03046528430992873,-0.1075609237648049,0.009788363133635156,0.053538948838759155
MD,-0.25042059194261723,0.05339377615766748,-0.3207878247536903,0.16320097450308554,-0.2571864359835576,0.17386463073358005,0.24589305620385427,0.07631876725055843,0.1728771254142662,0.18305417523685666,0.1498560279112535,-0.13079345853295601,0.03566210943450828,0.013636621505924087,0.2617239179870318,0.6913629840658818,0.12659347495042061,0.009935874431341675,-0.012226814808909121
ME-01,0.007144480512532187,0.5513290978279174,-0.3599119196102735,-0.044064490606067375,-0.12070641922300468,-0.02135288149324948,0.41866508618886605,0.13551130288167837,0.43986276782993877,0.041381981083507595,0.08875363286123425,-0.17422439017715624,0.014537707415288197,0.0663431717868054,0.34240735360447044,0.14553805251557275,-0.05578210490074224,-0.025951240490104686,0.042065734734318586
ME-02,-0.03187999162966544,0.3897387228961616,0.11651481311055215,-0.16941191048362536,0.8160046167968409,0.1589280408005331,-0.19600288007710417,-0.10439532848160676,0.05413537992801364,-0.052557929500624476,-0.08958808910692317,0.21122774918654919,-0.017095099042557623,-0.08738109309139076,0.0892583822047437,-0.02472399241455392,0.019917584487580863,0.07091180664969522,-0.13030015443487192
