year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes,D_delta,R_delta,total_delta,pres_margin,pres_margin_delta,pres_margin_str,pres_margin_delta_str,national_margin,national_margin_delta,national_margin_str,national_margin_delta_str,relative_margin,relative_margin_delta,relative_margin_str,relative_margin_delta_str,third_party_share,third_party_share_str,third_party_national_share,third_party_national_share_str,third_party_relative_share,third_party_relative_share_str,two_party_margin,two_party_margin_str,two_party_margin_delta,two_party_margin_delta_str,two_party_national_margin,two_party_national_margin_str,two_party_national_margin_delta,two_party_national_margin_delta_str,two_party_relative_margin,two_party_relative_margin_str,two_party_relative_margin_delta,two_party_relative_margin_delta_str,color
1948,TN,270402,202914,76967,550283,12,0,0,0,0.122642349482,0,D+12.3,0,0.044823557538,0,D+4.5,0,0.077818791944,0,D+7.8,0,0.1398680315401348,13.99%,0.05375609199235088,5.38%,0.08611193954778393,8.61%,0.14258550313110058,D+14.3,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.09521552044615908,D+9.5,0.0,0.0,deepskyblue
1948,TX,824235,303467,121875,1249577,23,0,0,0,0.416755430038,0,D+41.7,0,0.044823557538,0,D+4.5,0,0.371931872499,0,D+37.2,0,0.09753300516894917,9.75%,0.05375609199235088,5.38%,0.043776913176598285,4.38%,0.46179575809921414,D+46.2,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.4144257754142726,D+41.4,0.0,0.0,deepskyblue
1948,UT,149151,124402,2752,276305,4,0,0,0,0.089571307070,0,D+9.0,0,0.044823557538,0,D+4.5,0,0.044747749532,0,D+4.5,0,0.009960007962215668,1.00%,0.05375609199235088,5.38%,-0.04379608403013521,-4.38%,0.09047241302416717,D+9.0,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.043102430339225666,D+4.3,0.0,0.0,deepskyblue
1948,VA,200786,172070,46400,419256,11,0,0,0,0.068492758601,0,D+6.8,0,0.044823557538,0,D+4.5,0,0.023669201063,0,D+2.4,0,0.11067223844142958,11.07%,0.05375609199235088,5.38%,0.0569161464490787,5.69%,0.07701632801939623,D+7.7,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.029646345334454725,D+3.0,0.0,0.0,deepskyblue
1948,VT,45557,75926,1899,123382,3,0,0,0,-0.246138010407,0,R+24.6,0,0.044823557538,0,D+4.5,0,-0.290961567945,0,R+29.1,0,0.015391224003501321,1.54%,0.05375609199235088,5.38%,-0.03836486798884956,-3.84%,-0.24998559469226148,R+25.0,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.297355577377203,R+29.7,0.0,0.0,red
1948,WA,475165,386315,42578,904058,8,0,0,0,0.098279092713,0,D+9.8,0,0.044823557538,0,D+4.5,0,0.053455535175,0,D+5.3,0,0.04709653584172697,4.71%,0.05375609199235088,5.38%,-0.006659556150623913,-0.67%,0.10313646283140641,D+10.3,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.05576648014646491,D+5.6,0.0,0.0,deepskyblue
1948,WI,647310,590959,38531,1276800,12,0,0,0,0.044134555138,0,D+4.4,0,0.044823557538,0,D+4.5,0,-0.000689002400,0,R+0.1,0,0.03017778822055138,3.02%,0.05375609199235088,5.38%,-0.0235783037717995,-2.36%,0.045507882374508285,D+4.6,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.0018621003104332193,R+0.2,0.0,0.0,deepskyblue
1948,WV,429188,316251,3311,748750,8,0,0,0,0.150834056761,0,D+15.1,0,0.044823557538,0,D+4.5,0,0.106010499223,0,D+10.6,0,0.0044220367278798,0.44%,0.05375609199235088,5.38%,-0.04933405526447108,-4.93%,0.1515040130714921,D+15.2,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.10413403038655061,D+10.4,0.0,0.0,deepskyblue
1948,WY,52354,47947,1124,101425,3,0,0,0,0.043450825733,0,D+4.3,0,0.044823557538,0,D+4.5,0,-0.001372731805,0,R+0.1,0,0.011082080354942075,1.11%,0.05375609199235088,5.38%,-0.042674011637408804,-4.27%,0.04393774738038504,D+4.4,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.003432235304556462,R+0.3,0.0,0.0,deepskyblue
1952,AL,275075,149231,1814,426120,11,275075,108301,211140,0.295325260490,0.485715064193,D+29.5,D+48.6,-0.108505721164,-0.153329278702,R+10.9,R+15.3,0.403830981654,0.639044342895,D+40.4,D+63.9,0.00425701680277856,0.43%,0.0048795712368041805,0.49%,-0.0006225544340256201,-0.06%,0.2965878399079909,D+29.7,1.2965878399079909,D+129.7,-0.10903777877322929,R+10.9,-0.15640776145817079,R+15.6,0.4056256186812202,D+40.6,1.4529956013661616,D+145.3,deepskyblue
