,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
NH,-0.14964916766034797,0.08592008910465432,-0.3965796510370656,0.03262692390654854,0.03650643149977359,-0.06007008517341791,0.06695847653335471,0.013354059118364908,0.19454677255647831,0.12107252887531687,-0.031113933248275792,0.016194903926047128,-0.026251936702753567,0.007105806950961238,0.879362481336193,-0.0041310286469851175,-0.022520272836735293,-0.01435306974649304,0.09581313527399901,0.00025240802345028737,0.004140300027816714,-0.008763130831002185,-0.000579403247002097,0.015595233865426907
NJ,-0.7189353038967718,0.0770743470831914,-0.18751576915460821,-0.22057428275728055,-0.04743643112110702,0.11139595611296478,0.36190581844075936,-0.14229923627714616,0.17018863683076135,0.08459496278947845,-0.061870680819889,-0.009136546137231652,0.2093858026876567,0.05205965118377715,0.314664938661935,0.03959106299990794,-0.02008884210024787,0.0038783655521761546,0.2518274630504532,0.003175344203458749,0.07269493227019931,-0.03714906937799588,-0.0065044370832651075,0.06915185276123355
NM,0.4531976969136799,0.015999083321727444,-0.14098301637794708,0.21276639769308409,-0.08644890936987158,0.11154982599470342,0.014252220251562031,0.07601054158045178,0.18237752275515057,0.7090498062955957,0.23396492275635436,-0.16137298282321008,0.00013593207676100897,0.03014188977072196,0.26641433097216377,0.0017053771037633181,0.15406031463602762,-0.00378699877512264,0.16271722557205864,-0.0018681266748599512,0.002443512923849292,-0.0040907922280048305,-0.0027549858440193507,0.002537503772318904
NV,0.6882609453836644,0.11130473854617204,0.27535915269056,0.10174404179571812,0.021040679074772504,-0.05882060925155235,0.38354747720047583,-0.05438709402196732,0.14377262241773828,0.1636379504417341,-0.0585822927708682,-0.05797442909133834,-0.018000996130457428,0.4142559398717883,0.28729196253413747,-0.009107662397171853,-0.027684180901232137,-0.007359118322848456,0.018059893048609485,0.007792364774172121,-0.011201766996701138,0.0046636279801648105,0.013354903024903164,0.0032265711158089355
NY,-0.8047315485100932,-0.00987493224143492,0.010664120329067295,-0.13463352642899637,0.04084905157842628,0.20631938051973148,0.21370930851727188,-0.13014926108878008,0.18419254079574168,0.018633372695368647,0.08291578251089798,-0.16706856509346482,0.1509445985593107,-0.004916727694353539,0.2879803104888054,0.052405971891365144,0.021591274426630287,0.008441924706065536,0.2818732974213562,0.018485636125177552,0.01861571701108016,-0.07345159039524335,-0.0178749314680444,-0.015401254535659
OH,-0.1761175003524139,-0.03754961958026538,-0.14742153552193984,0.2632793396443232,0.2923597088611785,-0.07410327279737557,-0.2135786223851358,-0.11588352876582123,-0.0280366018166502,-0.08111792467242225,-0.05991346944077049,0.8634371006778035,-0.0037090686125895284,-0.011161426831784726,0.007942691029645638,-0.0015142174347919524,0.038284407215459074,-0.003075310531644566,-0.0725843305400157,0.0010099716963078206,0.00041602705429154475,0.001706439535411405,0.00264158623027117,8.395863674097287e-05
OK,0.8262259146679157,-0.0034514249577620656,0.12349654713333298,0.14535464245934016,0.12109916987376199,-0.06816074347019996,-0.38086509948948144,-0.03326931017218405,-0.021165145978381827,0.11638818258365274,-0.18702693635653242,-0.02206678131180181,-0.007429563520315351,-0.08404231667944866,-0.18947179093797492,-0.1270369829135874,-0.038846870252084297,0.023997572642271814,-0.15375620828715467,-0.007682636202367391,0.026779254993774478,0.016069574116194602,-0.08242960972264422,0.10026159030626501
OR,-0.35135619215896674,-0.03435362804330569,0.1458063290221404,0.21269874993869564,-0.1652410175034693,-0.01636417685182346,0.5285077604348464,0.1400899988820078,0.04332643721365056,0.21995087853404574,0.10910638652966398,0.09334354572456482,-0.008851351341086158,-0.009781758758322755,-0.0496440892349502,-0.00701404242384339,0.6344261237475798,-0.011020973953640547,0.20567747997138613,-0.0031233470871857064,-0.0003511122792281225,-0.0008184520767826059,-0.002167284108079248,0.0008441824441176454
PA,-0.8202487109908831,-0.14386726841452321,-0.2039213827947951,-0.2250788398157784,0.1017115536151856,-0.05609403462833169,0.08050593542186171,0.04171039735640696,-0.08497951637570661,-0.11855948676210981,0.02026589823307056,0.2602144984591889,0.031259551684662185,0.03798365713157694,-0.22776724777839014,-0.21619023714421737,0.12136590869518905,0.028422155015223445,-0.12907835024530265,0.019365602377156985,0.0030385111656271308,0.01883191976238173,0.06971631981039557,-0.018143894957036735
RI,-0.8609480148525281,0.0249087043376982,-0.04037835327281141,-0.23658840960365463,0.06268039925755263,-0.16410252953970353,-0.11208342656538187,-0.08557366588468195,0.10115570713566785,-0.04915016005598135,-0.11998464467735305,-0.03201495128505423,0.04492891450391675,-0.09729285957107571,0.21610946053922495,-0.04969834366260365,-0.1483961199581887,0.25782039723857303,0.08202225781182401,0.012924942807735403,0.00020182512394440513,0.02011513634581926,0.013058939053430134,-0.008438320022562932
