,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
NE-01,0.03582793701332423,0.06853231788401246,0.03960398093361235,0.6851572658322425,0.7353636096878483,0.07109202588354148,0.04918415197673739,0.026011266295078134,0.045250485798517634,-0.0011917917674135942,0.004154776472347929,-0.03528399414921448,0.022579864128842275,0.0251441580818733,-0.024235825189926268,0.01804061801599743,-0.010402576955214635,-0.029129854675553696,-0.00912976854266835,-0.03051176949323976,-0.03307717443068998,-0.024986780058922773,-0.024483049183910394
NE-02,0.03540241095520059,-0.042259456814025265,0.15880949072926978,-0.28849529440892024,0.9536669236260771,0.08366314900895809,-0.026769523049431924,0.013256271702722013,-0.02269352455500265,0.007229344207606171,0.02179592377534669,0.038562752868443344,-0.0020658273543922904,-0.014271519999555211,0.011177428908741774,-0.04596907771993786,0.007214125682634395,0.013518099844832283,0.003991879947931447,0.015435334238815416,0.015406963482139671,0.011624153156417336,0.011454803356487629
NE-03,0.013071587517518586,0.11216391109989578,-0.09274693069060663,0.9958523525716054,-0.12074505814865434,0.0042234867089699655,0.0868407275729797,-0.0022591615863482534,-0.013681401073851412,-0.008663595209827507,0.01628477375579932,0.0013667761572547642,-0.0046515560554275005,-0.00923749675833449,0.008172281788895733,0.01400630133596003,-0.00010795995378163814,0.00587211736617748,0.007878304274543307,0.0087121535442109,0.010514894323330665,0.005919420265757747,0.004118633338843438
NE-AL,0.39048462296252306,0.7460894151355182,0.08481403073527553,-0.002113337508775543,0.11467187803480691,0.11792403526268588,0.4326866288200849,0.27120165380502004,0.0117626327138057,0.09775280947311116,0.045998102741945324,0.052727205001535354,-0.017445763070663887,-0.03933517072088159,-0.023417725091042868,-0.04512392085322522,0.020538138787154728,0.005773433745572187,-0.02567799607083728,0.0006518575258228117,-0.088576287753043,-0.02921918616348343,-0.06172096155534029
NH,0.7996052160062598,0.2729688059659535,0.36196684112185457,0.04611133082177482,-0.03086541917114926,0.29280976222136856,-0.04653263956615488,0.034097015642872715,0.2595250718102379,0.02100159086150949,-0.05718970688228967,0.027845190952121325,-0.06038764402438617,-0.05507175424527854,0.02468458578363289,-0.12561146804454587,-0.010767889339754413,0.018647231217390363,-0.04533758770232566,0.02519350673090807,-0.0016456029144697108,-0.016883464498194133,-0.0028751203189406583
NJ,0.9757202082484461,0.040282976912183834,0.19656547361332952,-0.017062934764216095,-0.046474114442878287,0.10085554248997358,-0.003277594471021802,-0.06824039265824627,0.0035460506464607263,0.054780802388501526,-0.016895363965470218,0.032382408626927324,-0.04688359736327061,-0.039546863010757924,0.04231355098064622,-0.005286800969190493,-0.009851156189352315,0.08982825665890846,-0.0419105034778979,-0.0005350179378893754,-0.027994765384418106,-0.07203759330962613,-0.025174033358169787
NM,0.701856492177662,0.5535408385678899,0.3362543974654208,0.012186500493993122,0.08826103783228774,0.0583171302810121,0.13208078985254268,0.09302259184824663,0.021595090239249715,0.10036582605257052,0.0850303338869313,-0.013921813513883623,0.08193485183513957,-0.24614751838011428,0.0029252246387154327,0.029970723586182062,0.004869893438126177,-0.0010850933832960983,-0.020694131925835732,0.009527975530405314,0.0048027308564616775,0.010121129466319722,0.01149121400784631
NV,0.6299659988698874,0.6752560522942787,0.22396177847618884,-0.032885608774566984,0.013236223346895074,0.06726350529225476,0.25933746629015314,0.03857676872807941,0.007914591219003026,-0.01584480864146612,0.026507015369169322,-0.05431325302465905,0.058180712319899026,-0.03039467649788976,0.08888535384259164,-0.15805153486042922,0.028984960533609695,-0.012390808010706014,-0.04099253424394202,0.04235865880367237,0.0531576627041981,-0.09109303924057584,0.045261303822217575
NY,0.9538534644967182,-0.10122450472934238,0.2106418775325746,0.04176825172277551,-0.0782732296630157,0.046703529013193676,0.11581959296741412,-0.07810514779309295,-0.01211667771190245,0.10651029810289481,-0.0013052775770462524,0.06850816070486551,-0.08884369577709403,-0.0022197201008974533,-0.036981514359174565,-0.013758514952938741,-0.009613787550961941,0.0871261364930195,-0.06593890323335258,-0.060856792575642554,-0.01416599851771524,-0.010541758933725049,-0.02954387694130666
OH,0.84802162728564,0.383568817715502,-0.07513145213360067,0.13867562357895208,-0.09839692152317299,0.13819109879099967,0.01775450983878143,0.2062032767095991,0.03739409643130231,-0.06571124324399165,-0.04866548037402315,0.0922830526283938,0.03180957701084759,0.014044339648389971,0.2170728120981241,0.07974179868012352,0.023719359055713634,0.01661400793355188,0.009084566962399458,0.03394355263167815,-0.015769334446396513,0.010726114547304974,0.015641985508969686
