,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
IN,0.563796329397983,0.0017704997082765156,0.051275989778189736,0.11780779621537957,0.058017189059363636,-0.0022120379812380956,-0.7374915326818658,0.1292308924409898,0.08714892751943291,0.1623147320282766,0.13459179345364952,0.1975793709175101,-0.07826150684784214,0.13879042929896626,0.019991037161221234,0.09000368429366705,0.0713790034968081,-0.03301465442211324,-0.006363299917046888,-0.014695750602225619,0.01478538101806575,-0.035792996280305175,-0.001775780332057102,0.0656512325691656,-0.03442146018768175
KS,0.22794106639885678,-0.1352881195039255,0.19687302892320988,0.855783511158867,-0.0655090330668753,-0.03187812130695924,-0.1936513142409508,0.12439028339731792,-0.16983257289197132,0.054594711231768935,-0.12326813014706792,0.17543738557105387,-0.07593050865563572,-0.03446282797484891,-0.16500618917363188,-0.015820307487091442,0.09930615509002595,0.05429864813554826,0.08890347956172369,0.0399620683771552,0.002660951996636882,-0.007667605239689696,-0.030840532244906817,0.031619345796296744,0.006637035235266192
KY,0.5476545679835976,-0.0789123485794613,-0.020276014815306186,0.016879946040383606,0.18688218125832715,-0.13730804055527054,-0.71416070168742,0.0014681156584360397,-0.12460166753948598,0.03395925814589241,-0.16948600396976563,0.16899921603249732,-0.036238428980489866,-0.13450752388943535,-0.17390827039678786,-0.07601483149335803,0.035009249009677265,-0.045049519812478886,-0.15457821562008883,0.04378869255919486,-0.027022044696768187,-0.029523815667756942,-0.026304293847551265,0.07128989638071456,0.011668749049875077
LA,0.9335245737965142,-0.043296565300971555,0.13007303283645297,-0.03408867313957565,0.09002581570171625,-0.017742339241916844,-0.2329815725597637,-0.028335396818490836,-0.0771335461142451,-0.13212294124294496,0.052983540373451724,-0.07170954315823001,0.05756302876785641,0.013649906777245629,0.09141096611819725,0.0501736482001098,-0.12385297649017528,0.07588068702331809,0.05442690053153854,-0.02585546703029162,-0.03853839906572002,0.09279016402922138,-0.012248516404786778,-0.02322076494437422,-0.009277351115108383
MA,-0.9198073486919774,0.023832227582152404,0.0025763185739769725,-0.08471208940653403,-0.10985203335808835,-0.08523040832157466,0.1364762537554466,-0.04637875782720973,-0.0850034540898783,-0.090169378120945,-0.005122231264900509,-0.052494598508966185,-0.0016616388517216283,-0.04628874726297701,0.3016516562392315,0.03033019671298531,-0.08743438671400891,0.0869911878201973,0.017737657577062103,-0.03992701017231321,-0.04029149564937682,-0.07152767033379628,-0.006135707740344292,-0.04960449112078015,0.05389053119909961
MD,-0.2540997651842646,0.06838309555932644,-0.3177170053680563,0.16214705604947885,-0.2598617091464604,0.1771723615180315,0.23966521804793964,0.07199882039270732,0.16775764341868646,0.17984988612132063,0.1528854528100394,-0.13574386340254094,0.022640206361446272,0.01585080461158239,0.2719459536613595,0.0015530371477051632,0.13609952047148557,0.0061292878731727665,0.6920209443464129,0.0003348318761499768,0.0018144858090278506,0.0028455282624779274,0.013178972459914767,0.010460779625500233,-0.000979781833975619
ME-01,0.0036589810759389803,0.5832213365493225,-0.3533601833225139,-0.04547892451980644,-0.12310188278208192,-0.015154279762568513,0.4118168028577771,0.13020796852587418,0.42396587714136647,0.044938687376383436,0.08623237604308542,-0.17276645230569385,0.01411335297630484,0.06309279674965482,0.3471615999008274,-0.001637532974405686,-0.04509136629331833,-0.016639929569434105,0.1438119573005693,-0.00567575441227899,-0.009154860724331694,-0.028855535832489038,-0.012763282788404476,0.003612921704679869,-0.0093374862905197
ME-02,-0.03206367408554709,0.3692419577977051,0.11972390387265933,-0.17306372189758498,0.814973733013508,0.16147397253727405,-0.19452645727077955,-0.1030403551596889,0.04949940207599288,-0.04555694128988539,-0.09513617142307054,0.22233815495773993,-0.017370427460506398,-0.086425882717467,0.08461566798205554,0.024590834327694017,0.017123993838741112,0.09391911443788456,-0.030112495637122642,0.029566377605668697,0.09344946306599472,0.12664566940661726,0.010365747801284264,0.003275073298047944,0.04160550906006132
ME-AL,-0.7755198592774026,-0.01571653606873191,-0.207752094156012,0.10229348768624238,0.1094450952675459,0.044964918389953645,0.15709874549640213,0.028401337037880885,0.09051004261065061,-0.15141747677837222,-0.1106858180318833,0.2172122411065349,-0.18650197200902868,-0.21187924326912808,0.31745074432589626,0.018310838317416856,-0.018710987787067365,0.11458550213517911,0.2368024205522347,-0.0016121313150864282,0.0066032091865957055,-0.013798061946475648,0.004391043425029787,0.013399806089963271,0.030012715607963338
MI,-0.7806789358370663,0.13268301418090309,0.019345223080926247,-0.03709072324529826,0.1758622179462869,-0.11944841202229371,0.39053214611424447,-0.00857314299179016,0.04970207821859274,-0.12843728552154948,-0.08923492185469599,0.18651603007826512,-0.07635940007090933,0.03694581148777435,-0.22211356516315073,-0.07967806822597125,0.027711588637033872,0.04195433762982918,-0.19074036717884604,-0.008402004218401858,0.08535902041612073,0.019708326984508254,-0.007011800594744683,0.19730181242631176,-0.0029813610766214857
