,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
IN,0.5112629789454213,0.7473895075667313,0.0691205633371594,0.2024321870656274,0.06437159103710455,0.17977843296094173,0.20244587893386964,0.08575071560637658,-0.004242742580232535,0.06910204289862411,-0.005756295953093592,0.1172603631174838,-0.015128394962860895,-0.03802714555050342,0.18615185931793193,-0.005527387073640203,0.16363714827087503,-0.015537658495345675,-0.028689230268934697,-0.021196406337006233
KS,0.6693871845147993,0.5130834971213262,-0.0925429278320533,0.03457409116647279,0.07945836354615649,0.10038913032572347,0.24553526624170147,0.45480777805751954,-0.018214494424294753,0.09606382962865562,0.008872367097822971,-0.007197754963050204,0.03719550229982621,-0.003205398319769057,-0.018248828890373485,0.011441359705753468,0.10731927364698461,-0.008620290158323184,-0.03776184229394631,0.03208272369625109
KY,0.12123038546494841,0.8069325215537726,-0.26178441133777985,0.26522083321302065,-0.11600620194127698,0.26222799005961617,0.01691752503624995,0.06217111627544799,-0.020776142777798844,0.00108918090102814,-0.041953052189251216,0.10401632297164366,0.009268381301316825,-0.0962644952300637,0.02336892758494637,0.08305972283672358,0.33402236179937733,0.002626104417256339,-0.01106031189945301,0.035997895155787836
LA,-0.19947159361124786,0.9430039561771394,0.017320796301668325,0.04755573124759792,-0.05519763716455433,-0.0483674807219044,0.06433124701494192,-0.050660667421334654,0.07277273371579807,0.07232046885162856,-0.02691935667091254,-0.0296575598395677,-0.13220696926271375,0.1505269724960761,-0.03565920458004719,-0.038560764157297894,-0.17495646416348393,0.037763404490682564,0.03740508166652905,-0.035206308293003086
MA,0.9082607536138247,-0.30335152092536677,-0.004196527246027256,-0.022087994001558777,-0.028770960670878785,0.2099912320342025,0.07873488273741193,-0.05683969084251427,0.10759363686571627,-0.03526172021375719,-0.05904827026938656,-0.06837903490786064,-0.18373582902283372,-0.011832817483264547,-0.031747712961426124,6.259760081349047e-05,-0.02090102161168859,-0.06521145464537875,0.017381583086903737,0.03894389227874757
MD,0.8460637472008811,0.15661806282794072,0.35204838013931533,-0.11359758360264864,0.1211927974777054,0.03248205560317372,-0.03130132435113952,0.10915397611324183,-0.005777558192756072,0.3540344529825616,0.02680364319140344,0.005901559216549948,0.01879881967409831,0.0015726231934455213,-0.001228709920835671,0.001965679643489905,-0.04468380427925182,0.0024292099861586564,0.01225601040883542,-0.010405464081427637
ME-01,0.388228100010083,0.12628905627236853,0.857366155583718,0.0313873179098657,0.10253504867685632,0.12556287594320745,-0.13593612927385504,-0.016486689873103484,-0.02347600410544707,0.009790785926228689,-0.2676212950616932,-0.0068643101576592,-0.025261528194381853,0.008374187723454036,-0.014671079089587834,0.020578722049200325,-0.056056530924475066,-0.09792550864940316,0.03692713501005346,-0.002369699936206015
ME-02,0.30498967072418065,0.19676047188400334,0.5439753673158683,0.557359568994547,-0.28694355761862833,0.021367983105680766,-0.01603657371349535,-0.039527901494086554,0.004371924788650325,0.0033872381081126463,-0.443635920242516,0.06332105938897946,-0.03144394171628166,0.016555845907963766,0.008136178886107766,-0.004982000478547746,0.09572268338098952,0.023752885522590604,-0.01972734104536691,0.009670604468115053
ME-AL,0.9139351113103381,-0.17855474365152255,0.038068778518817806,0.1190119140389406,-0.03387550130815526,0.14933599090109204,-0.09563657315008231,0.14834884408444352,0.018902022617914613,0.09519937468927955,-0.1402058483778348,0.11946438292973884,-0.114982771210366,-0.0024269354549198217,0.005681641679777573,-0.004522878946953823,-0.04886383980950119,-0.0075720168077264005,-0.03037495553063203,0.19430260068417118
MI,0.9579858370884464,0.00927026787345702,-0.07920247740193927,0.09149409571794932,-0.02633517036360971,0.09576030379612928,0.08692815322368623,0.048441544390390494,-0.1556698136666186,-0.18684275210891874,-0.03808807377214615,-0.00804296000567784,0.05670780764965966,0.017358140012563753,0.04812233806137011,0.0037055079352349756,0.08528308650969199,-0.03694982748120873,-0.04164562414456051,-0.03447665304598192
