,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
NH,-0.1497430197857202,0.08605737149175922,-0.3954551658370351,0.03094977934369102,0.03575365239612238,-0.059730564160368496,0.06678320007483146,0.013235633481226361,0.19334707267091275,0.12348962800893694,-0.031338909675076056,0.016858960827098483,-0.01981978660056104,0.0062804505630427825,0.880416711597735,0.09630208875292642,-0.021903482374514106,-0.009447675252121028,0.00606728795154987,-0.004050460468847394,0.006837204818966667,-0.0053612338982811135,0.002661039265382332,0.028347675936074155,0.00012025792688206127,-0.005559974299227655
NJ,-0.7188870997954324,0.07214767469614738,-0.18942123599902733,-0.2191061936077001,-0.046048606540217134,0.10908450762963925,0.3612121718731568,-0.1426822424778442,0.17214803293255865,0.07888760863646477,-0.05921980510471065,-0.012076484162265,0.1964237839847311,0.060307331930705664,0.3136427088106843,0.2489235697725679,-0.01584265978634396,0.013594932831937743,0.007909995097225115,-0.009066863214355438,-0.0030494754341864744,-0.03655990074103062,-0.05075456194270749,-7.770707883363583e-05,-0.005315720204420805,0.14032841191816953
NM,0.45236121826641335,0.016720684810201104,-0.1397868589420113,0.20931770111003095,-0.08703684459030067,0.11214059204734611,0.01459490393022585,0.07618164413741138,0.1812458312267472,0.7140061380676255,0.23058854499056608,-0.15898169974439066,-0.0009525958921633797,0.029370962501538336,0.2643218638906048,0.16511188032855884,0.15293171722572765,-0.0038385382557038616,0.00283677310249777,-0.000137958650097454,0.004941946086480894,-0.0033177142723242,-0.0017261146554299659,0.002409008853717592,0.0019664641896476555,0.0025050172630281275
NV,0.6877690339625833,0.11011654138660198,0.27653148689210266,0.10115668890351447,0.02142386708968924,-0.0588787872833743,0.3840062133202533,-0.05454864897922548,0.14399811964306358,0.16302142126796448,-0.057616269477002525,-0.058474255282985596,-0.021538156140972695,0.4145730341949237,0.2877220413786549,0.018789056216539455,-0.02639325182533007,-0.004217601320233342,-0.009473116296274498,0.01246445358624612,0.00015124458006357427,0.004980889615732619,0.007778152984781534,0.009631304288032105,-0.005350539699777572,-0.010170516539076503
NY,-0.8051649725180532,-0.01026672017624141,0.009494027799680445,-0.1347431851964155,0.0412147741416233,0.20605174775476826,0.21278109932679795,-0.13049633824984563,0.1840696408149702,0.01740622486255563,0.0841645754199371,-0.16807967218007966,0.14025015999520044,-0.00180677779920339,0.2881555809540101,0.2782023579276398,0.025651074992742443,0.005729262193806781,0.02073067059755967,-0.015095762496577158,-0.020758438113287557,-0.07252970623880164,-0.0604759531647473,-0.04564975025918096,-0.02105860162310984,0.032748805006605784
OH,-0.17572337099992127,-0.03676215957052374,-0.1472345051735955,0.2634197887037233,0.2913105392674098,-0.07383106681731684,-0.2136035270147601,-0.11602986157001184,-0.02790038318365532,-0.08209169032569043,-0.06006822110222881,0.8638000174227878,-0.003355081232852336,-0.011049293638880119,0.00875283198840595,-0.07262812360515711,0.03854611776721863,-0.0028760386212081405,-0.002675689448766538,0.00036760521945407526,0.0026178015746101606,0.0017541829204993432,0.000988946016141866,0.0012279256638748092,-0.0007908616179576649,0.0003754194618553547
OK,0.8260268770891742,-0.0024868869029862463,0.12508539526237222,0.1450513250487878,0.1200958065829822,-0.0667672354459029,-0.3807846634663577,-0.03309268204940728,-0.021814962049902596,0.11767973333791887,-0.18783679596361774,-0.021030510029353494,-0.008114445577171102,-0.0843608048807451,-0.18810481412815797,-0.15436325695500908,-0.038137687283683525,0.028131003302896324,0.07324182687110187,-0.022824516392442894,-0.03802492551693507,0.021830918288363102,0.1331352893363738,0.06355243937040952,-0.003695536564485687,0.06902955645760253
OR,-0.35186466379229975,-0.03364840881505066,0.14420942619120677,0.21266412077746583,-0.16466301930498561,-0.016218196553828123,0.527194507630514,0.13953236451819925,0.042343288542024585,0.21804012669662115,0.10961353113296807,0.0919401951310609,-0.012033174192902361,-0.008616730761886966,-0.04917509456337505,0.2024066585611201,0.6384531225976093,-0.01238294763123852,0.0024745860184708056,-0.0016193464140989557,0.005957732744867023,-0.0004961606168629339,0.005537584579068429,-0.0008915879332642938,0.003466009280392527,-0.00010334262235211238
PA,-0.8198961796922045,-0.14282913237214728,-0.20396973884340094,-0.22587306342243643,0.10092819628855446,-0.055274154304763234,0.07978891400681869,0.04191043779004191,-0.08582524924232933,-0.11757565328665592,0.018583041421122524,0.26181418905705955,0.04651827352668772,0.03560800204833149,-0.22749175227790178,-0.12814874363686263,0.120385669404646,0.020787279278810158,-0.07564855530785276,0.01645955132373723,0.004697728938833934,0.01289847480668749,0.21348152989316238,0.001221099091716329,-0.030431275903457785,-0.033486981255923455
RI,-0.8605800385676051,0.023357900777847263,-0.042475711378037094,-0.2332714704113715,0.06400869179490352,-0.16556357770691058,-0.11312819826202165,-0.08630140979392201,0.10192130291478035,-0.057030665536955495,-0.11618032866303132,-0.035418486259414315,0.05973685698308649,-0.09087433591544287,0.2165198753783234,0.07563428770360373,-0.14091191583241758,0.2687013238729523,-0.003088037400266572,0.006823584076221065,0.0086646216023414,0.013955719813360103,0.04115613020925217,-0.03124339834201758,-0.005314434121837146,0.0003092524321878341
