,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
GA,0.9456442642924108,0.0816684028683048,-0.10708256615909352,0.0038113070785239524,-0.05257687133747607,0.05333267778698931,-0.22790534505893234,0.04132470608146753,-0.04643496976034517,-0.024469599503187715,-0.025908170739272974,-0.06744526206512572,-0.02203012491335223,0.026990741105124578,-0.15948703543241785,-0.05361541648050061,-0.10517130758083323,-0.04315380429267851,0.0021150162564131146,-0.006354010937121268,0.09088511798735947,0.005387573281337959,0.03182114644525828,0.01615137777306846,-0.04486191645271122,-0.055248463578372826,0.01704305688998273
HI,-0.08468410321424412,0.05900085994935738,-0.13437546549864704,0.028267243456203673,-0.1583205479093949,0.03574642688390192,0.2269011710584008,0.028190342265226216,0.9361510797281186,0.07769442912974342,-0.09357307586995096,-0.010595309316017078,0.005259503131001785,0.006296027949851229,0.17762529978174224,0.07370022225595584,0.02244688096265791,0.005238326968538404,0.0018636569958667359,-0.0010243190363602766,0.003601189505765762,0.0037375880437852537,-0.002044690700851923,0.001579729974925196,0.00095083304390039,-0.0016988941158308994,0.0004941922466674972
IA,-0.5894896657421519,-0.19689846153884769,0.5697059097824442,0.08366044530250771,0.23997999321718666,0.19791329223888623,-0.04790099600094423,-0.08438402913609261,0.024009326028423653,0.15143444757645957,0.13167296778505544,0.06258260525916427,-0.03486111834885556,-0.22589336250618736,-0.14782100262989054,-0.035547687089661294,0.21516501131339547,0.07098057334201273,0.0026295820806190784,0.11538627945092955,0.033605763655608446,-0.027815369805102855,0.13503587592621866,0.01818784465483656,-0.07208121803112146,-0.050855969604493255,0.002038466842558708
ID,0.8338914821202336,-0.035300536634651214,0.27681502192502105,0.11115924740028973,0.09583093207037605,-0.30135763340269067,-0.11066988680275927,0.03562798791168609,-0.08623483729979732,0.037706052560219624,-0.06391406849213749,0.034158316377062244,0.03423876345616788,0.050440486125572406,-0.07804557781964615,-0.28966672885050565,-0.0625773126393015,0.018853842344611172,-0.13004093030521058,0.033362370383989405,0.00593170183296169,0.02099872827319166,-0.011964452153642051,0.03765662211673768,-0.06473171885209668,-0.008785992346573589,0.03862097549464835
IL,-0.7647195839691548,0.028239007433330653,-0.024367341338932164,-0.12375525204328648,0.021136899976965884,0.27821993088176905,0.41384875927960046,0.02273264657424946,0.10245497061570885,0.09581760904635316,0.2681568059912978,-0.21594386043300653,0.06025659351250366,0.00514573639845585,0.11341766350595861,0.10855274553933188,0.022158683092496866,-0.06250742489504112,0.0003288616994675795,-0.04450682029556185,0.002690243987117619,0.04090000063938855,-0.05722473405087655,0.025492788458104598,0.07425289861297685,-0.041174274767743144,-0.013369096215883641
IN,0.5640447918329707,0.0023685611175064056,0.05050033518385953,0.1172494873161903,0.05773310563658191,-0.002233780948969962,-0.7371723568092842,0.12898178337262328,0.08661440902729191,0.16265544119384723,0.13268344347564154,0.19790618768302362,-0.10119770731717093,0.13420937672128722,0.019669281202579617,-0.0030749841111249515,0.06751717163477464,-0.029080384747539066,-0.017835779617688338,0.001624326022046275,0.0020948045335927117,-0.035351486251710626,-0.08337414161048795,0.064440461244163,-0.030659185559268068,0.015379596172612146,-0.02345572420968039
KS,0.22812661963993655,-0.13506726818258763,0.19593404022858416,0.8563016349734585,-0.06486482101427085,-0.03204538556675308,-0.19395847197296243,0.12436059446315129,-0.16929746267265236,0.05202789064174497,-0.12180110853055294,0.17468376411680753,-0.06680969444412026,-0.034927330961207106,-0.1651784909670133,0.08824021754675197,0.10156105104060252,0.06176940671203248,0.031098519172590117,0.03741299216809089,-0.0030196675160759543,-0.012797328188090873,0.01622943947071499,0.029709172520327894,0.012972343375049067,-0.032612106393521995,0.016425241412318436
KY,0.5478899469169436,-0.07860350265373775,-0.020397534921120623,0.016698932981106453,0.1864249528304182,-0.13713969945641888,-0.7137026434269413,0.0013844321461259966,-0.12503768034769047,0.03505871246622148,-0.17134522028851173,0.16915644986623854,-0.027640299384635258,-0.13706268611482303,-0.17420461013302443,-0.15357255928339233,0.03210971056231007,-0.04120992917831252,0.022231348876227193,0.05367767007744468,-0.02946380906975636,-0.032326009312816144,0.07568114820142136,0.06941934667835058,0.011774310457297186,0.0038890204492633956,-0.0028925586025569387
LA,0.933416727966007,-0.04343592907606198,0.13117732541649227,-0.035378793469917305,0.08952287191295336,-0.017885244747061376,-0.2320217632342702,-0.028279561720415024,-0.07723746367310205,-0.12825006564523023,0.050628011712020526,-0.07034899644893738,0.034649493137926486,0.01170495003484575,0.09009700666890767,0.05817136392272206,-0.12955704901328777,0.049827167451215605,0.002067353505872115,-0.0481853397902554,-0.036602268346206855,0.11863470538252947,-0.03885634617472457,-0.021220084616752476,-0.024510257189066558,-0.002081004808340742,-0.010886704064169578
MA,-0.9200395509515205,0.023277253021831996,0.0024342392018552703,-0.08602488522939934,-0.10979676551529557,-0.08548782266147438,0.1373790189460702,-0.04564155440973483,-0.08353513264410797,-0.08702735498839664,-0.005897289617713147,-0.05062872978704876,-0.028383192599379107,-0.048057567770077296,0.2986392067238723,0.023810216191031613,-0.09380986935118975,0.08152608471508259,-0.018032123344716267,-0.010307170495130498,-0.05017485572484399,-0.005367836443239734,-0.02032042975743448,-0.06604051843655204,0.05977493217799436,0.07264045415845533,0.015190488322567225
