key,column,a_value,b_value
1976|ND,pres_margin_delta_str,D+20.4,0
1976|ND,national_margin,0.021958632612,0.022746909847506894
1976|ND,national_margin_delta,0.257316410845,0
1976|ND,national_margin_str,D+2.2,D+2.3
1976|ND,national_margin_delta_str,D+25.7,0
1976|ND,relative_margin,-0.080563728883,-0.08350711995097113
1976|ND,relative_margin_delta,-0.053100400148,0
1976|ND,relative_margin_str,R+8.1,R+8.4
1976|ND,relative_margin_delta_str,R+5.3,0
1976|NE-01,D_votes,82580,81590
1976|NE-01,R_votes,117185,116030
1976|NE-01,pres_margin,-0.169429701729,-0.174274
1976|NE-01,pres_margin_delta,0.168131381565,0
1976|NE-01,pres_margin_str,R+16.9,R+17.4
1976|NE-01,pres_margin_delta_str,D+16.8,0
1976|NE-01,national_margin,0.021958632612,0.022746909847506894
1976|NE-01,national_margin_delta,0.257316410845,0
1976|NE-01,national_margin_str,D+2.2,D+2.3
1976|NE-01,national_margin_delta_str,D+25.7,0
1976|NE-01,relative_margin,-0.191388334341,-0.1970207687686687
1976|NE-01,relative_margin_delta,-0.089185029280,0
1976|NE-01,relative_margin_str,R+19.1,R+19.7
1976|NE-01,relative_margin_delta_str,R+8.9,0
1976|NE-02,D_votes,76075,75884
1976|NE-02,R_votes,115237,114991
1976|NE-02,pres_margin,-0.200171742264,-0.204883
1976|NE-02,pres_margin_delta,0.178828887452,0
1976|NE-02,pres_margin_str,R+20.0,R+20.5
1976|NE-02,pres_margin_delta_str,D+17.9,0
1976|NE-02,national_margin,0.021958632612,0.022746909847506894
1976|NE-02,national_margin_delta,0.257316410845,0
1976|NE-02,national_margin_str,D+2.2,D+2.3
1976|NE-02,national_margin_delta_str,D+25.7,0
1976|NE-02,relative_margin,-0.222130374876,-0.22762968653381993
1976|NE-02,relative_margin_delta,-0.078487523393,0
1976|NE-02,relative_margin_str,R+22.2,R+22.8
1976|NE-02,relative_margin_delta_str,R+7.8,0
1976|NE-03,D_votes,75037,75813
1976|NE-03,R_votes,127283,128198
1976|NE-03,pres_margin,-0.251446227296,-0.256775
1976|NE-03,pres_margin_delta,0.261029721606,0
1976|NE-03,pres_margin_str,R+25.1,R+25.7
1976|NE-03,pres_margin_delta_str,D+26.1,0
1976|NE-03,national_margin,0.021958632612,0.022746909847506894
1976|NE-03,national_margin_delta,0.257316410845,0
1976|NE-03,national_margin_str,D+2.2,D+2.3
1976|NE-03,national_margin_delta_str,D+25.7,0
1976|NE-03,relative_margin,-0.273404859908,-0.2795222798030485
1976|NE-03,relative_margin_delta,0.003713310761,0
1976|NE-03,relative_margin_str,R+27.3,R+28.0
1976|NE-03,relative_margin_delta_str,D+0.4,0
1976|NE-AL,D_votes,233692,233287
1976|NE-AL,R_votes,359705,359219
1976|NE-AL,electoral_votes,5,2
1976|NE-AL,pres_margin,-0.207371459415,-0.212541
1976|NE-AL,pres_margin_delta,0.202678012291,0
1976|NE-AL,pres_margin_str,R+20.7,R+21.3
1976|NE-AL,pres_margin_delta_str,D+20.3,0
1976|NE-AL,national_margin,0.021958632612,0.022746909847506894
1976|NE-AL,national_margin_delta,0.257316410845,0
1976|NE-AL,national_margin_str,D+2.2,D+2.3
1976|NE-AL,national_margin_delta_str,D+25.7,0
1976|NE-AL,relative_margin,-0.229330092027,-0.23528821744607975
1976|NE-AL,relative_margin_delta,-0.054638398554,0
1976|NE-AL,relative_margin_str,R+22.9,R+23.5
1976|NE-AL,relative_margin_delta_str,R+5.5,0
1976|NH,D_votes,147635,147645
1976|NH,pres_margin,-0.112775091722,-0.11478505905629834
1976|NH,pres_margin_delta,0.178457894068,0
1976|NH,pres_margin_str,R+11.3,R+11.5
1976|NH,pres_margin_delta_str,D+17.8,0
1976|NH,national_margin,0.021958632612,0.022746909847506894
1976|NH,national_margin_delta,0.257316410845,0
1976|NH,national_margin_str,D+2.2,D+2.3
1976|NH,national_margin_delta_str,D+25.7,0
1976|NH,relative_margin,-0.134733724334,-0.13753196890380523
1976|NH,relative_margin_delta,-0.078858516777,0
1976|NH,relative_margin_str,R+13.5,R+13.8
1976|NH,relative_margin_delta_str,R+7.9,0
1976|NJ,D_votes,1444793,1444653
1976|NJ,R_votes,1509501,1509688
1976|NJ,pres_margin,-0.021903033347,-0.0220133694790141
1976|NJ,pres_margin_delta,0.231684352633,0
1976|NJ,pres_margin_delta_str,D+23.2,0
1976|NJ,national_margin,0.021958632612,0.022746909847506894
1976|NJ,national_margin_delta,0.257316410845,0
