,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
RI,-0.8600829181422469,0.017519549716842758,-0.039857631246054334,-0.23705652158519636,0.06249056597211887,-0.16467111349713925,-0.11382103363574464,-0.08566975948978482,0.10317063138305246,-0.05395519616810946,-0.11657236024089561,-0.03287465051400753,0.0432658098185498,-0.1073990279327109,0.2235951735590613,0.08444081709485725,-0.15195535140481234,0.245162990384501,0.018001694638786796,0.05042370873016934
SC,0.9555946224130522,-0.017711099184837317,0.04942807950738639,-0.02851951972646206,-0.024230511247953987,0.039637896747782564,-0.25707581896166665,-0.012398636609388407,0.025887580374889283,-0.10575704721669843,0.06475432718568182,-0.04359947842151333,-0.00981465296934654,0.041021653592648324,0.140722840536991,0.03468107281036044,0.02314985338024294,-0.029999010250003816,-0.06593106230747897,-0.01893420823364772
SD,0.0742793106487466,-0.04826397218472014,0.7803572462460339,0.2512883726243029,0.16810484702727915,-0.09307416014477156,-0.32951462176959473,0.01785864467058255,-0.2207837328508991,0.026924722952401177,0.00319731794949027,0.03491089586863147,-0.28864446389063764,0.03134764023546412,-0.06778046714667818,-0.194077826244568,0.15752373991382707,-0.016570145184835357,0.0015277989995137575,-0.06981935190267702
TN,0.7968772588700349,-0.05632478693734855,0.03345754382203018,-0.11444743790031428,0.1845414875550398,0.07189922728129947,-0.4808333114380406,-0.05242055254192969,-0.14300613679642193,-0.05378448939136302,-0.11029434206260275,0.02359516777264085,0.01430570785898132,-0.03222718406934862,-0.20021105074192616,-0.051552757699986816,0.042416552860918985,-0.031740421936313476,0.07701828546372573,0.11411665215455163
TX,0.9567326783359758,-0.037505437450991136,0.07664169635008233,0.07827833707727297,-0.0389190861694263,-0.16301894228988775,-0.174962344582606,-0.0037265174716035196,0.04790197095765502,0.1037626416827147,-0.12042066416556585,0.04299535650741724,0.012618272905092343,-0.08619050066674877,0.018290300115001813,0.01934535420088274,-0.03614983791751244,0.05962667343253895,0.056890514065030755,0.00255686014223467
UT,0.84074243613082,-0.10738066556570613,0.06948676211449471,0.004591517693820135,-0.12433300486375812,-0.31917840663002434,-0.08332992535329366,0.10422203912822718,-0.0007321817639461004,-0.04395914650558324,-0.06636077563848006,-0.025127405952091682,0.19051073907725502,0.027504892797982117,0.14960670667219436,-0.29456062890316104,-0.11414740208111834,-0.0304410519513132,0.05299863544979181,-0.02617174554920647
VA,0.8959047523248217,0.00899315448227526,-0.1830014973165925,0.12147328053139765,-0.14177618529599448,0.05009503038672649,-0.12671852930845384,0.03245026006675055,0.10270378530690798,0.11505447548210905,0.07864529571559532,0.02411764667540519,-0.030172549816533573,-0.013811962091180779,0.22073202542820272,0.24214031038177025,0.06250358419033865,0.012511471590115893,-0.026716514416730817,-0.03190237053103663
VT,-0.7778376946969903,-0.007135848391810445,-0.15314927955884702,0.039452910526987135,-0.02803319031460115,0.1557713860685872,0.3862527448028202,0.07859985000381488,0.15840151486163614,0.026447677679893967,0.08098985283752308,-0.014265863646178135,-0.017199777223415355,-0.12249155071441412,0.27133459050127445,0.2808867440562873,0.10791326006971975,-0.03711610847832215,-0.07321918632301368,0.056667375665499176
WA,-0.2978826389234667,0.04278728998833634,-0.06884403229440014,0.100308016446065,-0.06472168933966178,-0.010430494571377336,0.8669642498108466,0.09992839933151831,0.14591029274859554,0.0783094559332156,0.07289425828837559,0.0483009575217217,-3.507897865616272e-05,-0.07110738452882605,-0.20953794966429037,-0.11722494098062974,0.14857364035097248,0.06818789589537883,0.16621291154900444,0.11031043606483916
WI,-0.38939564608541044,0.06762046406805573,0.8376668413740681,-0.1123652921146206,0.006985096453361103,0.07494383924920973,0.16159502642750717,0.03151380367706658,-0.015099717408131185,0.05932444044019028,0.07682558449934089,-0.11048225475844328,0.14265012827080387,-0.11670329060043158,-0.1602411900613844,0.1853640249222112,0.050582241086297226,0.00872356290287135,-0.006684827587330848,-0.0661384131243988
